"company" "tikr" "price" "country" "mrkt"
"Great Ajax Corp." "AJX" 13.31 "AU" NA
"Floor & Decor Holdings, Inc." "FND" 114.5 "AU" NA
"Healthpeak Properties, Inc." "PEAK" 35.96 "CA" NA
"iHeartMedia, Inc." "IHRT" 20.65 "US" "XNAS"
"Franklin Street Properties Corp." "FSP" 6.11 "US" "XASE"
"Hilton Grand Vacations, Inc." "HGV" 54.3 "US" "XNYS"
"Gossamer Bio, Inc." "GOSS" 12 "US" "XNAS"
"Hormel Foods Corp." "HRL" 49.84 "AU" NA
"Eton Pharmaceuticals, Inc." "ETON" 4.25 "US" "XNAS"
"Equity LifeStyle Properties, Inc." "ELS" 81 "AU" NA
"GoodRx Holdings, Inc." "GDRX" 26.36 "US" "XNAS"
"FedNat Holding Co." "FNHC" 1.5 "US" "XNAS"
"Hasbro, Inc." "HAS" 102.76 "LN" NA
"Greenbrook Tms, Inc." "GBNH" 3.94 "US" "XNAS"
"Equinix, Inc." "EQIX" 774.43 "US" "XNAS"
"Equity Bancshares, Inc." "EQBK" 34.68 "US" "XNAS"
"First Advantage Corp." "FA" 18 "LN" NA
"G1 Therapeutics, Inc." "GTHX" 9.68 "US" "XNAS"
"Harmonic, Inc." "HLIT" 11.19 "US" "XNAS"
"First Majestic Silver Corp." "AG" 10.32 "US" "XNYS"
"Gracell Biotechnologies Inc." "GRCL" 4.73 NA NA
"GeoVax Labs, Inc." "GOVX" 3.53 "US" "XNAS"
"Farmers & Merchants Bancorp, Inc. (Ohio)" "FMAO" 32.85 "US" "XNAS"
"FedEx Corp." "FDX" 263.98 "AU" NA
"Globalstar, Inc." "GSAT" 1.07 "US" "XASE"
"Forestar Group Inc." "FOR" 20.17 "AU" NA
"Genworth Financial, Inc." "GNW" 4.26 "US" "XNYS"
"First Citizens BancShares, Inc. (North Carolina)" "FCNCA" 905.91 "US" "XNAS"
"G. Willi Food International Ltd." "WILC" 19.43 "US" "XNAS"
"Fusion Pharmaceuticals, Inc." "FUSN" 4.71 "US" "XNAS"
"F-star Therapeutics, Inc." "FSTX" 4.82 "US" "XNAS"
"Flowers Foods, Inc." "FLO" 28.03 "LN" NA
"FARO Technologies, Inc." "FARO" 63.63 "US" "XNAS"
"Global-e Online Ltd." "GLBE" 50.45 "US" "XNAS"
"FFBW, Inc." "FFBW" 11.65 "US" "XNAS"
"Gannett Co., Inc." "GCI" 5.05 "AU" NA
"Etsy, Inc." "ETSY" 185.16 "US" "XNAS"
"GameStop Corp." "GME" 140.55 "AU" NA
"Freeport-McMoRan, Inc." "FCX" 41.89 "US" "XNYS"
"Everbridge, Inc." "EVBG" 59.92 "US" "XNAS"
"Guardant Health, Inc." "GH" 87.84 "CA" NA
"Home Bancshares, Inc. (Arkansas)" "HOMB" 25.78 "US" "XNAS"
"Flexible Solutions International, Inc." "FSI" 3.55 "AU" NA
"Groupon, Inc." "GRPN" 23.65 "US" "XNAS"
"Genmab A/S" "GMAB" 36.28 "US" "XNAS"
"Galmed Pharmaceuticals Ltd." "GLMD" 1.9 "US" "XNAS"
"First National Corp. (Virginia)" "FXNC" 22.75 "US" "XNAS"
"Fluent, Inc." "FLNT" 1.95 "US" "XNAS"
"Hilltop Holdings, Inc." "HTH" 37.3 "US" "XNYS"
"Grupo Televisa SAB" "TV" 10 "CA" NA
"Fossil Group, Inc." "FOSL" 10.45 "US" "XNAS"
"Evergy, Inc." "EVRG" 67.54 "US" "XNYS"
"EOG Resources, Inc." "EOG" 98.17 "LN" NA
"Four Corners Property Trust, Inc." "FCPT" 28.47 "US" "XNYS"
"Gaming & Leisure Properties, Inc." "GLPI" 46.59 "US" "XNAS"
"GoldMining, Inc." "GLDG" 1.47 "US" "XASE"
"IDEX Corp." "IEX" 227.73 "US" "XNYS"
"Exela Technologies, Inc." "XELA" 0.7 "US" "XNAS"
"Hilton Worldwide Holdings, Inc." "HLT" 151.99 "US" "XNYS"
"Escalade, Inc." "ESCA" 16.56 "US" "XNAS"
"Hersha Hospitality Trust" "HT" 9.78 "US" "XNYS"
"Evolution Petroleum Corp." "EPM" 5.41 "AU" NA
"Global Blue Group Holding AG" "GB" 6.78 "CA" NA
"EZGO Technologies Ltd." "EZGO" 1.33 "US" "XNAS"
"First Mid Bancshares, Inc." "FMBH" 44.68 "US" "XNAS"
"Excellon Resources, Inc." "EXN" 0.93 "CA" NA
"Five9, Inc." "FIVN" 133.98 "US" "XNAS"
"Ferrari NV" "RACE" 257.01 "US" "XNYS"
"FreightCar America, Inc." "RAIL" 4.01 "US" "XNAS"
"Five Star Senior Living, Inc." "FVE" 3.08 "US" "XNAS"
"Gladstone Land Corp." "LAND" 32.08 "LN" NA
"Hertz Global Holdings, Inc." "HTZ" 24.32 "US" "XNYS"
"Fluor Corp." "FLR" 23.83 "US" "XNYS"
"Highway Holdings Ltd." "HIHO" 3.85 "US" "XNAS"
"First Bank (Williamstown, New Jersey)" "FRBA" 14.83 "US" "XNAS"
"Four Seasons Education (Cayman), Inc." "FEDU" 0.68 "US" "XNYS"
"Forward Air Corp." "FWRD" 114.37 "US" "XNAS"
"First Community Corp. (South Carolina)" "FCCO" 21.15 "US" "XNAS"
"Graco, Inc." "GGG" 77.06 "AU" NA
"Humana, Inc." "HUM" 363.46 "LN" NA
"EXACT Sciences Corp." "EXAS" 75.68 "US" "XNAS"
"Ferguson Plc" "FERG" 174.06 "LN" NA
"Hewlett-Packard Enterprise Co." "HPE" 17.13 "US" "XNYS"
"Exxon Mobil Corp." "XOM" 68.88 "US" "XNYS"
"Equitrans Midstream Corp." "ETRN" 10.36 "US" "XNYS"
"Eversource Energy" "ES" 89.66 "CA" NA
"Frontline Ltd." "FRO" 7.48 "US" "XNYS"
"Globe Life, Inc." "GL" 100.7 "CA" NA
"Five Below, Inc." "FIVE" 186 "LN" NA
"First Seacoast Bancorp" "FSEA" 10.62 "US" "XNAS"
"Eqonex Ltd." "EQOS" 1.94 "US" "XNAS"
"First Commonwealth Financial Corp. (Pennsylvania)" "FCF" 17.24 "CA" NA
"Kiora Pharmaceuticals Inc" "KPRX" 1.01 NA NA
"Foghorn Therapeutics, Inc." "FHTX" 18.09 "US" "XNAS"
"Horizon Therapeutics Plc" "HZNP" 98.14 "US" "XNAS"
"Forte Biosciences, Inc." "FBRX" 1.88 "US" "XNAS"
"Frequency Therapeutics, Inc." "FREQ" 5.49 "US" "XNAS"
"Exterran Corp." "EXTN" 3.47 "US" "XNYS"
"Eos Energy Enterprises, Inc." "EOSE" 6.51 "US" "XNAS"
"Huntington Bancshares, Inc." "HBAN" 17.23 "US" "XNAS"
"Equillium, Inc." "EQ" 3.47 "CA" NA
"Helen of Troy Ltd." "HELE" 231.95 "US" "XNAS"
"Idera Pharmaceuticals, Inc." "IDRA" 0.62 "US" "XNAS"
"Full Truck Alliance Co., Ltd." "YMM" 8.29 NA NA
"Fortuna Silver Mines, Inc." "FSM" 3.61 "US" "XNYS"
"Green Plains, Inc." "GPRE" 35.91 "US" "XNAS"
"G Medical Innovations Holdings Ltd." "GMVD" 2.26 "US" "XNAS"
"Forward Pharma A/S" "FWP" 5.95 "US" "XNAS"
"Gildan Activewear, Inc." "GIL" 41.61 "CA" NA
"Five Star Bancorp" "FSBC" 31.35 "US" "XNAS"
"First Guaranty Bancshares, Inc." "FGBI" 20.25 "US" "XNAS"
"GAN Ltd." "GAN" 8.49 "LN" NA
"Fair Isaac Corp." "FICO" 440.05 "US" "XNYS"
"FuelCell Energy, Inc." "FCEL" 5.1 "US" "XNAS"
"Equity Commonwealth" "EQC" 26.67 "US" "XNYS"
"First Savings Financial Group, Inc." "FSFG" 26.6 "US" "XNAS"
"GrafTech International Ltd." "EAF" 11.82 "US" "XNYS"
"Genuine Parts Co." "GPC" 138.94 "CA" NA
"Gold Resource Corp." "GORO" 1.52 "US" "XASE"
"Frontier Communications Parent, Inc." "FYBR" 29.98 "US" "XNAS"
"Fidelity National Information Services, Inc." "FIS" 117.67 "US" "XNYS"
"IDEXX Laboratories, Inc." "IDXX" 550.03 "US" "XNAS"
"Expeditors International of Washington, Inc." "EXPD" 128.15 "US" "XNAS"
"Fortive Corp." "FTV" 71.95 "LN" NA
"Expedia Group, Inc." "EXPE" 179.88 "US" "XNAS"
"Hannon Armstrong Sustainable Infrastructure Capital, Inc." "HASI" 49.01 "US" "XNYS"
"Gartner, Inc." "IT" 299.15 "US" "XNYS"
"Hawaiian Electric Industries, Inc." "HE" 42.74 "CA" NA
"Global Cord Blood Corp." "CO" 4.51 "CA" NA
"Equinor ASA" "EQNR" 27.83 "US" "XNYS"
"HSBC Holdings Plc" "HSBC" 32.74 "US" "XNYS"
"Essential Utilities, Inc." "WTRG" 52.18 "US" "XNYS"
"Genius Sports Ltd." "GENI" 7.32 "LN" NA
"Eurodry Ltd." "EDRY" 19.19 "US" "XNAS"
"HMG/Courtland Properties, Inc." "HMG" 23.5 "US" "XASE"
"Globus Medical, Inc." "GMED" 71.55 "US" "XNYS"
"Fox Factory Holding Corp." "FOXF" 159.58 "US" "XNAS"
"First Eagle Alternative Capital BDC, Inc." "FCRD" 4.7 "US" "XNAS"
"IAA, Inc." "IAA" 49.47 "US" "XNYS"
"Gold Royalty Corp." "GROY" 4.76 "US" "XASE"
"FirstEnergy Corp." "FE" 41.4 "CA" NA
"FLEX LNG Ltd." "FLNG" 21.9 "US" "XNYS"
"Fulgent Genetics, Inc." "FLGT" 81.22 "US" "XNAS"
"First United Corp." "FUNC" 19.64 "US" "XNAS"
"Focus Financial Partners, Inc." "FOCS" 56.66 "US" "XNAS"
"Fomento Economico Mexicano SAB de CV" "FMX" 79.6 "US" "XNYS"
"Essent Group Ltd." "ESNT" 47.72 "LN" NA
"fuboTV, Inc." "FUBO" 13.97 "US" "XNYS"
"Hanesbrands, Inc." "HBI" 16.87 "US" "XNYS"
"Gevo, Inc." "GEVO" 4.17 "US" "XNAS"
"First Business Financial Services, Inc." "FBIZ" 30.41 "US" "XNAS"
"Envista Holdings Corp." "NVST" 44.42 "US" "XNYS"
"EQT Corp." "EQT" 22.8 "LN" NA
"Falcon Minerals Corp." "FLMN" 5.36 "US" "XNAS"
"EVI Industries, Inc." "EVI" 30 "US" "XASE"
"Healthcare Services Group, Inc." "HCSG" 17.67 "US" "XNAS"
"FTI Consulting, Inc." "FCN" 148.57 "US" "XNYS"
"Federal Signal Corp." "FSS" 41.93 "US" "XNYS"
"iClick Interactive Asia Group Ltd." "ICLK" 4.34 "US" "XNAS"
"Fangdd Network Group Ltd." "DUO" 0.37 "US" "XNAS"
"Fox Corp." "FOX" 36.01 "LN" NA
"Golden Star Resources Ltd." "GSS" 3.86 "LN" NA
"Galecto, Inc." "GLTO" 2.94 "US" "XNAS"
"Hallador Energy Co." "HNRG" 2.5 "US" "XNAS"
"Evans Bancorp, Inc." "EVBN" 40.79 "US" "XASE"
"Gitlab, Inc." "GTLB" 70.66 "US" "XNAS"
"Full House Resorts, Inc." "FLL" 10.65 "US" "XNAS"
"Green Brick Partners, Inc." "GRBK" 25.79 "US" "XNAS"
"Forian, Inc." "FORA" 7.93 "CA" NA
"Fate Therapeutics, Inc." "FATE" 48.34 "US" "XNAS"
"General Electric Co." "GE" 101.4 "US" "XNYS"
"Finance of America Cos., Inc." "FOA" 4.07 NA NA
"ESCO Technologies, Inc." "ESE" 88.04 "AU" NA
"Farfetch Ltd." "FTCH" 29.39 "US" "XNYS"
"Herbalife Nutrition Ltd." "HLF" 43.28 "CA" NA
"Halozyme Therapeutics, Inc." "HALO" 37.29 "CA" NA
"Houghton Mifflin Harcourt Co." "HMHC" 15.23 "US" "XNAS"
"eXp World Holdings, Inc." "EXPI" 28.46 "US" "XNAS"
"Hyliion Holdings Corp." "HYLN" 5.8 "US" "XNYS"
"Fiverr International Ltd." "FVRR" 98.61 "US" "XNYS"
"General Mills, Inc." "GIS" 68.55 "CA" NA
"Flywire Corp" "FLYW" 33.08 "US" "XNAS"
"Futu Holdings Ltd." "FUTU" 41.96 "US" "XNAS"
"Golden Nugget Online Gaming, Inc." "GNOG" 9.92 "US" "XNAS"
"Harbor Custom Development, Inc." "HCDI" 2.4 "US" "XNAS"
"HealthEquity, Inc." "HQY" 45.38 "US" "XNAS"
"FONAR Corp." "FONR" 15.65 "US" "XNAS"
"First Northwest Bancorp (Washington)" "FNWB" 20.33 "US" "XNAS"
"Erasca, Inc." "ERAS" 12.92 "US" "XNAS"
"Gatos Silver, Inc." "GATO" 9.57 "US" "XNYS"
"Fidelity National Financial, Inc." "FNF" 53.26 "US" "XNYS"
"Global Ship Lease, Inc." "GSL" 22.65 "AU" NA
"Franklin Wireless Corp." "FKWL" 4.54 "US" "XNAS"
"Garmin Ltd." "GRMN" 130.94 "US" "XNAS"
"Grupo SIMEC SAB de CV" "SIM" 24.8 "LN" NA
"Fidelity D&D Bancorp, Inc." "FDBC" 52.92 "US" "XNAS"
"Franco-Nevada Corp." "FNV" 127.31 "CA" NA
"FS Bancorp, Inc." "FSBW" 35.04 "US" "XNAS"
"First Republic Bank (San Francisco, California)" "FRC" 204.1 "CA" NA
"Fresh Del Monte Produce, Inc." "FDP" 29.06 "LN" NA
"Golden Ocean Group Ltd." "GOGL" 9.88 "US" "XNAS"
"Gladstone Commercial Corp." "GOOD" 24.77 "LN" NA
"Global Internet of People, Inc." "SDH" 1.27 NA NA
"GoDaddy, Inc." "GDDY" 76.82 "US" "XNYS"
"FSD Pharma, Inc." "HUGE" 1.03 "CA" NA
"Granite Point Mortgage Trust, Inc." "GPMT" 11.86 "US" "XNYS"
"Graphic Packaging Holding Co." "GPK" 19.73 "CA" NA
"Hess Corp." "HES" 86.65 "US" "XNYS"
"Femasys, Inc." "FEMY" 3.29 NA NA
"Gritstone Bio Inc." "GRTS" 6.45 "US" "XNAS"
"Farmer Brothers Co." "FARM" 7.56 "CA" NA
"Hawaiian Holdings, Inc." "HA" 19.76 "CA" NA
"Globus Maritime Ltd." "GLBS" 2.15 "US" "XNAS"
"Enveric Biosciences, Inc." "ENVB" 0.84 "US" "XNAS"
"Everi Holdings, Inc." "EVRI" 20.2 "US" "XNYS"
"iBio, Inc." "IBIO" 0.52 "US" "XASE"
"Erie Indemnity Co." "ERIE" 194.6 "US" "XNAS"
"Genprex, Inc." "GNPX" 2.23 "US" "XNAS"
"Epsilon Energy Ltd." "EPSN" 5.64 "US" "XNAS"
"Getty Realty Corp." "GTY" 31.41 "AU" NA
"Gentex Corp." "GNTX" 35.18 "US" "XNAS"
"FAT Brands, Inc." "FAT" 11 "CA" NA
"Franklin Financial Services Corp. (Pennsylvania)" "FRAF" 33.43 "US" "XNAS"
"Hope Bancorp, Inc." "HOPE" 16.13 "US" "XNAS"
"Global Blood Therapeutics, Inc." "GBT" 28.64 "AU" NA
"Fortune Brands Home & Security, Inc." "FBHS" 101.3 "US" "XNYS"
"Esperion Therapeutics, Inc." "ESPR" 4.14 "US" "XNAS"
"Genpact Ltd." "G" 52.3 "CA" NA
"Fanhua, Inc." "FANH" 7.4 "US" "XNAS"
"FLEETCOR Technologies, Inc." "FLT" 243.11 "AU" NA
"FREYR Battery SA" "FREY" 9.78 NA NA
"Eventbrite, Inc." "EB" 16.9 "US" "XNYS"
"Healthcare Trust of America, Inc." "HTA" 33.08 "AU" NA
"IDEX Biometrics ASA" "IDBA" 25.66 "US" "XNAS"
"GreenSky, Inc." "GSKY" 11.85 "US" "XNAS"
"General Motors Co." "GM" 62.27 "US" "XNYS"
"Evelo Biosciences, Inc." "EVLO" 5.98 "US" "XNAS"
"Flushing Financial Corp." "FFIC" 25.57 "US" "XNAS"
"H&R Block, Inc." "HRB" 23.26 "US" "XNYS"
"Frequency Electronics, Inc." "FEIM" 9.44 "US" "XNAS"
"Finch Therapeutics Group, Inc." "FNCH" 9.32 "US" "XNAS"
"Ferro Corp." "FOE" 21.8 "US" "XNYS"
"First Bancorp (North Carolina)" "FBNC" 48.3 "US" "XNAS"
"ERYTech Pharma SA" "ERYP" 2.32 "US" "XNAS"
"Financial Institutions, Inc." "FISI" 33.7 "US" "XNAS"
"Genfit SA" "GNFT" 4.84 "US" "XNAS"
"GOL Linhas Aéreas Inteligentes SA" "GOL" 5.68 "US" "XNYS"
"GBS Inc. (New York)" "GBS" 1.57 "US" "XNAS"
"Ideal Power, Inc." "IPWR" 10.26 "US" "XNAS"
"Farmland Partners, Inc." "FPI" 11.68 "US" "XNYS"
"Glory Star New Media Group Holdings Ltd." "GSMG" 1.15 "US" "XNAS"
"Farmers National Banc Corp." "FMNB" 19.67 "US" "XNAS"
"Essential Properties Realty Trust, Inc." "EPRT" 28.32 "US" "XNYS"
"GoPro, Inc." "GPRO" 10.67 "US" "XNAS"
"FMC Corp." "FMC" 108.2 "CA" NA
"First Busey Corp." "BUSE" 29.47 "US" "XNAS"
"Fiesta Restaurant Group, Inc." "FRGI" 10.76 "US" "XNAS"
"Federal Agricultural Mortgage Corp." "AGM/A" 119 NA NA
"Hyatt Hotels Corp." "H" 96.89 "CA" NA
"eSports Technologies, Inc." "EBET" 17.39 NA NA
"Federal Agricultural Mortgage Corp." "AGM" 127.83 "LN" NA
"Extreme Networks, Inc." "EXTR" 14.25 "US" "XNAS"
"Evercore, Inc." "EVR" 137.04 "LN" NA
"EPAM Systems, Inc." "EPAM" 556.66 "US" "XNYS"
"Express, Inc." "EXPR" 3.05 "US" "XNYS"
"ICL Group Ltd." "ICL" 10.41 "CA" NA
"GDS Holdings Ltd." "GDS" 42.85 "CA" NA
"Franklin Electric Co., Inc." "FELE" 91.67 "US" "XNAS"
"GLOBALFOUNDRIES, Inc." "GFS" 60.02 "LN" NA
"Funko, Inc." "FNKO" 18.41 "US" "XNAS"
"Fortinet, Inc." "FTNT" 314.44 "US" "XNAS"
"HollyFrontier Corp." "HFC" 33.65 "CA" NA
"GreenTree Hospitality Group Ltd." "GHG" 8.55 "LN" NA
"FTS International, Inc." "FTSI" 26.35 "US" "XASE"
"Flotek Industries, Inc." "FTK" 1.08 "US" "XNYS"
"Fox Corp." "FOXA" 39.04 "US" "XNAS"
"Hudson Pacific Properties, Inc." "HPP" 27.09 "AU" NA
"Envestnet, Inc." "ENV" 77.87 "AU" NA
"H.B. Fuller Co." "FUL" 76.74 "LN" NA
"FlexShopper, Inc." "FPAY" 2.18 "US" "XNAS"
"Hecla Mining Co." "HL" 4.87 "LN" NA
"Halliburton Co." "HAL" 26.02 "US" "XNYS"
"Fortis, Inc." "FTS" 46.52 "CA" NA
"Gran Tierra Energy, Inc." "GTE" 0.81 "LN" NA
"Illinois Tool Works, Inc." "ITW" 246.05 "US" "XNYS"
"Global Payments, Inc." "GPN" 150.14 "US" "XNYS"
"Heat Biologics, Inc." "HTBX" 3.1 "US" "XNAS"
"Evolving Systems, Inc." "EVOL" 2.24 "US" "XNAS"
"Grupo Financiero Galicia SA" "GGAL" 9.38 "US" "XNAS"
"FactSet Research Systems, Inc." "FDS" 441.62 "US" "XNYS"
"Highwoods Properties, Inc." "HIW" 46.87 "US" "XNYS"
"Gates Industrial Corp. Plc" "GTES" 16.38 "US" "XNYS"
"HP, Inc." "HPQ" 38.65 "CA" NA
"Flex Ltd." "FLEX" 17.45 "US" "XNAS"
"Future FinTech Group, Inc." "FTFT" 1.15 "US" "XNAS"
"Ford Motor Co." "F" 24.43 "CA" NA
"Freshworks, Inc." "FRSH" 22.79 "US" "XNAS"
"Henry Schein, Inc." "HSIC" 78.94 "US" "XNAS"
"Host Hotels & Resorts, Inc." "HST" 18.21 "US" "XNAS"
"Honeywell International, Inc." "HON" 215.75 "LN" NA
"Gamida Cell Ltd." "GMDA" 2.28 "US" "XNAS"
"Equinox Gold Corp." "EQX" 6.43 "AU" NA
"FNCB Bancorp, Inc." "FNCB" 9.1 "US" "XNAS"
"Evoke Pharma, Inc." "EVOK" 0.56 "US" "XNAS"
"Federated Hermes, Inc." "FHI" 39.18 "US" "XNYS"
"FVCBankcorp, Inc." "FVCB" 19.95 "US" "XNAS"
"Global Net Lease, Inc." "GNL" 15.63 "US" "XNYS"
"Gaotu Techedu, Inc." "GOTU" 1.64 "US" "XNYS"
"Gulf Resources, Inc." "GURE" 4.25 "US" "XNAS"
"Exelixis, Inc." "EXEL" 18.76 "US" "XNAS"
"Gilat Satellite Networks Ltd." "GILT" 8.1 "US" "XNAS"
"Formula Systems (1985) Ltd." "FORTY" 120.99 "US" "XNAS"
"Fennec Pharmaceuticals, Inc." "FENC" 4.53 "US" "XNAS"
"GlycoMimetics, Inc." "GLYC" 1.39 "US" "XNAS"
"Fisker Inc - Ordinary Shares - Class A" "FSR" 16.24 "US" "XNYS"
"Eros STX Global Corp." "ESGC" 0.26 "US" "XNYS"
"Epizyme, Inc." "EPZM" 2.25 "US" "XNAS"
"First Horizon Corp. (Tennessee)" "FHN" 18.38 "US" "XNYS"
"Eyenovia, Inc." "EYEN" 3.62 "US" "XNAS"
"Foresight Autonomous Holdings Ltd." "FRSX" 1.67 "US" "XNAS"
"Genetic Technologies Ltd." "GENE" 1.89 "CA" NA
"HyreCar, Inc." "HYRE" 3.88 "US" "XNAS"
"Guess?, Inc." "GES" 22.6 "AU" NA
"Galiano Gold, Inc." "GAU" 0.67 "CA" NA
"FB Financial Corp." "FBK" 46.45 "US" "XNYS"
"Fulton Financial Corp." "FULT" 18.28 "US" "XNAS"
"First Financial Northwest, Inc." "FFNW" 16.83 "US" "XNAS"
"General Dynamics Corp." "GD" 212.06 "US" "XNYS"
"First Internet Bancorp" "INBK" 51.49 "US" "XNAS"
"II-VI, Inc." "IIVI" 71.83 "US" "XNAS"
"Extra Space Storage, Inc." "EXR" 208.42 "AU" NA
"First American Financial Corp." "FAF" 77.48 "CA" NA
"Foot Locker, Inc." "FL" 42.06 "CA" NA
"Fastenal Co." "FAST" 60.61 "US" "XNAS"
"Gerdau SA" "GGB" 4.86 "CA" NA
"GreenPower Motor Co., Inc." "GP" 7.79 "US" "XNAS"
"Frontdoor, Inc." "FTDR" 37.07 "US" "XNAS"
"Geron Corp." "GERN" 1.18 "US" "XNAS"
"Forrester Research, Inc." "FORR" 57.02 "US" "XNAS"
"Equity Residential" "EQR" 89.64 "AU" NA
"Equifax, Inc." "EFX" 267.57 "CA" NA
"GFL Environmental, Inc." "GFL" 35.29 "NZ" NA
"Hologic, Inc." "HOLX" 70.35 "US" "XNAS"
"EverQuote, Inc." "EVER" 15.03 "CA" NA
"First Foundation, Inc." "FFWM" 26.79 "US" "XNAS"
"Generac Holdings, Inc." "GNRC" 316.55 "US" "XNYS"
"Gold Standard Ventures Corp." "GSV" 0.43 "CA" NA
"EVO Payments, Inc." "EVOP" 25.16 "US" "XNAS"
"Fuel Tech, Inc." "FTEK" 1.32 "US" "XNAS"
"Grocery Outlet Holding Corp." "GO" 27.91 "US" "XNAS"
"Friedman Industries, Inc." "FRD" 10.8 "US" "XASE"
"Fury Gold Mines Ltd." "FURY" 0.65 "CA" NA
"Greenlane Holdings, Inc." "GNLN" 0.93 "US" "XNAS"
"Euro Tech Holdings Co. Ltd." "CLWT" 2.87 "US" "XNAS"
"Evolent Health, Inc." "EVH" 23.06 "US" "XNYS"
"ESSA Bancorp, Inc." "ESSA" 17.3 "US" "XNAS"
"Equitable Holdings, Inc." "EQH" 35.5 "US" "XNYS"
"FG Financial Group, Inc." "FGF" 3.64 "AU" NA
"EVgo, Inc." "EVGO" 9.5 NA NA
"Fastly, Inc." "FSLY" 33.03 "US" "XNYS"
"Global Self Storage, Inc." "SELF" 5.72 "US" "XNAS"
"EverCommerce, Inc." "EVCM" 13.58 NA NA
"Grupo Aeroportuario del Pacífico SAB de CV" "PAC" 141.62 "LN" NA
"Garrett Motion, Inc." "GTX" 7.87 "US" "XNAS"
"Enzo Biochem, Inc." "ENZ" 3.18 "US" "XNYS"
"ePlus, Inc." "PLUS" 51.98 "LN" NA
"Helix Energy Solutions Group, Inc." "HLX" 3.63 "AU" NA
"First Solar, Inc." "FSLR" 84.61 "US" "XNAS"
"Firsthand Technology Value Fund, Inc." "SVVC" 4.15 "US" "XNAS"
"Freshpet Inc." "FRPT" 89.07 "US" "XNAS"
"Ferroglobe PLC" "GSM" 5.61 "AU" NA
"Harley-Davidson, Inc." "HOG" 39.73 "AU" NA
"Hoth Therapeutics, Inc." "HOTH" 0.95 "US" "XNAS"
"Tivity Health, Inc." "TVTY" 24.79 "US" "XNAS"
"SPI Energy Co. Ltd." "SPI" 3.42 "LN" NA
"Waitr Holdings, Inc." "WTRH" 0.64 "US" "XNAS"
"Viking Therapeutics, Inc." "VKTX" 4.21 "US" "XNAS"
"Stitch Fix, Inc." "SFIX" 19.01 "US" "XNAS"
"vTv Therapeutics, Inc." "VTVT" 0.91 "US" "XNAS"
"Vista Outdoor, Inc." "VSTO" 46.83 "US" "XNYS"
"Upwork, Inc." "UPWK" 29.5 "US" "XNAS"
"Ultra Clean Holdings, Inc." "UCTT" 54 "US" "XNAS"
"Verastem, Inc." "VSTM" 1.9 "US" "XNAS"
"Sonida Senior Living Inc" "SNDA" 27.5 NA NA
"The Aaron's Co., Inc." "AAN" 23.69 "CA" NA
"Ultrapar Participaçoes SA" "UGP" 2.35 "US" "XNYS"
"Unisys Corp." "UIS" 19.85 "US" "XNYS"
"The Hershey Co." "HSY" 195.91 "US" "XNYS"
"Vaccitech Plc" "VACC" 11.8 "US" "XNAS"
"United States Steel Corp." "X" 25.41 "CA" NA
"Tapestry, Inc." "TPR" 39.34 "US" "XNYS"
"Vonage Holdings Corp." "VG" 20.76 "CA" NA
"Titan Pharmaceuticals, Inc." "TTNP" 1.04 "US" "XNAS"
"TherapeuticsMD, Inc." "TXMD" 0.38 "US" "XNAS"
"The Brink's Co." "BCO" 68.23 "US" "XNYS"
"The Beachbody Co., Inc." "BODY" 2.08 "US" "XNYS"
"Westpac Banking Corp." "WBK" 15.56 "US" "XNYS"
"Unilever Plc" "UL" 53.79 "US" "XNYS"
"Velodyne Lidar, Inc." "VLDR" 4.23 "US" "XNAS"
"The Buckle, Inc." "BKE" 39.74 "US" "XNYS"
"The Container Store Group, Inc." "TCS" 11.22 "LN" NA
"The9 Ltd." "NCTY" 5.86 "US" "XNAS"
"The Duckhorn Portfolio, Inc." "NAPA" 22.29 "US" "XNYS"
"Vertex Energy, Inc." "VTNR" 4.9 "US" "XNAS"
"TimkenSteel Corp." "TMST" 17.13 "US" "XNYS"
"Urstadt Biddle Properties, Inc." "UBP" 18.79 "US" "XNYS"
"Washington Federal, Inc." "WAFD" 36.02 "US" "XNAS"
"Vimeo Inc" "VMEO" 15.6 "US" "XNAS"
"The Children's Place, Inc." "PLCE" 72.18 "US" "XNAS"
"UP Fintech Holding Ltd." "TIGR" 4.33 "US" "XNAS"
"Vista Gold Corp." "VGZ" 0.67 "CA" NA
"Trip.com Group Ltd." "TCOM" 25.01 "US" "XNAS"
"Western Asset Mortgage Capital Corp." "WMC" 2.25 "AU" NA
"TTM Technologies, Inc." "TTMI" 15.51 "US" "XNAS"
"Soleno Therapeutics, Inc." "SLNO" 0.43 "US" "XNAS"
"Tower Semiconductor Ltd." "TSEM" 39.14 "US" "XNAS"
"Viomi Technology Co., Ltd." "VIOT" 2.21 "US" "XNAS"
"Stanley Black & Decker, Inc." "SWK" 189.25 "AU" NA
"Soligenix, Inc." "SNGX" 0.69 "US" "XNAS"
"Tronox Holdings Plc" "TROX" 24.2 "US" "XNYS"
"Smartsheet, Inc." "SMAR" 62.96 "US" "XNYS"
"TPG RE Finance Trust, Inc." "TRTX" 12.7 "US" "XNYS"
"TransMedics Group, Inc." "TMDX" 17.34 "US" "XNAS"
"Valvoline, Inc." "VVV" 35.31 "CA" NA
"Solid Biosciences, Inc." "SLDB" 1.58 "US" "XNAS"
"Surface Oncology, Inc." "SURF" 4.48 "US" "XNAS"
