"company" "tikr" "price" "country" "mrkt"
"Arrowhead Pharmaceuticals, Inc." "ARWR" 58.93 "US" "XNAS"
"AcuityAds Holdings, Inc." "ATY" 3.39 "LN" NA
"Antares Pharma, Inc." "ATRS" 3.46 "US" "XNAS"
"Alpha Metallurgical Resources, Inc." "AMR" 62.88 "CA" NA
"ACV Auctions, Inc." "ACVA" 17.87 "US" "XNAS"
"Adecoagro SA" "AGRO" 7.51 "LN" NA
"ATRenew Inc" "RERE" 6 "US" "XNYS"
"Avanos Medical, Inc." "AVNS" 33.36 "US" "XNYS"
"AMETEK, Inc." "AME" 142.36 "AU" NA
"AMC Networks, Inc." "AMCX" 40.63 "US" "XNAS"
"Absolute Software Corp." "ABST" 8.46 "CA" NA
"AAON, Inc." "AAON" 73.96 "US" "XNAS"
"Alaska Air Group, Inc." "ALK" 55.85 "AU" NA
"Adtalem Global Education, Inc." "ATGE" 30.21 "US" "XNYS"
"Achilles Therapeutics Plc" "ACHL" 4.28 "US" "XNAS"
"22nd Century Group, Inc." "XXII" 2.76 "US" "XNAS"
"Acer Therapeutics, Inc." "ACER" 2.31 "US" "XNAS"
"Alkermes Plc" "ALKS" 24.02 "US" "XNAS"
"Accenture Plc" "ACN" 370.74 "US" "XNYS"
"Acurx Pharmaceuticals Inc" "ACXP" 4.41 NA NA
"America Movil SAB de CV" "AMOV" 20.99 "US" "XNYS"
"Aclaris Therapeutics, Inc." "ACRS" 12.7 "US" "XNAS"
"Affirm Holdings, Inc." "AFRM" 79.67 "US" "XNAS"
"Allied Motion Technologies, Inc." "AMOT" 41.23 "US" "XNAS"
"Antelope Enterprise Holdings Ltd." "AEHL" 1.81 "US" "XNAS"
"Alexander & Baldwin, Inc." "ALEX" 24.41 "US" "XNYS"
"Arco Platform Ltd." "ARCE" 18.62 "US" "XNAS"
"Aldeyra Therapeutics, Inc." "ALDX" 3.86 "US" "XNAS"
"ASML Holding NV - ADR" "ASML" 756.53 "US" "XNAS"
"Airbnb, Inc." "ABNB" 166.19 "US" "XNAS"
"Amcor Plc" "AMCR" 12.12 "US" "XNYS"
"Akouos, Inc." "AKUS" 8.33 "US" "XNAS"
"AC Immune SA" "ACIU" 4.84 "US" "XNAS"
"Arlington Asset Investment Corp." "AAIC" 3.6 "US" "XNYS"
"Alibaba Group Holding Ltd - ADR" "BABA" 129.76 "US" "XNYS"
"AgriFORCE Growing Systems Ltd." "AGRI" 1.9 NA NA
"10X Genomics, Inc." "TXG" 127.89 "CA" NA
"Adamis Pharmaceuticals Corp." "ADMP" 0.57 "US" "XNAS"
"Ameris Bancorp" "ABCB" 54.04 "US" "XNAS"
"ARC Document Solutions, Inc." "ARC" 3.7 "LN" NA
"American Axle & Manufacturing Holdings, Inc." "AXL" 9.94 "AU" NA
"AbbVie, Inc." "ABBV" 134.88 "US" "XNYS"
"17 Education & Technology Group, Inc." "YQ" 1.16 "US" "XNAS"
"Achieve Life Sciences, Inc." "ACHV" 8.23 "US" "XNAS"
"2U, Inc." "TWOU" 18.83 "US" "XNAS"
"Atlas Air Worldwide Holdings, Inc." "AAWW" 88.22 "US" "XNAS"
"Arcosa, Inc." "ACA" 51.39 "LN" NA
"Akebia Therapeutics, Inc." "AKBA" 2.22 "US" "XNAS"
"Ashford Hospitality Trust, Inc." "AHT" 10.47 "LN" NA
"American Resources Corp. (Indiana)" "AREC" 1.94 "LN" NA
"AngioDynamics, Inc." "ANGO" 23.46 "US" "XNAS"
"360 DigiTech, Inc." "QFIN" 20.18 "US" "XNAS"
"Alimera Sciences, Inc." "ALIM" 4.83 "US" "XNAS"
"Anaplan, Inc." "PLAN" 44.24 "CA" NA
