"company","tikr","price"
"The Aaron's Co., Inc.","AAN",23.69
"Ultrapar Participaçoes SA","UGP",2.35
"Unisys Corp.","UIS",19.85
"The Hershey Co.","HSY",195.91
"Vaccitech Plc","VACC",11.8
"United States Steel Corp.","X",25.41
"Tapestry, Inc.","TPR",39.34
"Vonage Holdings Corp.","VG",20.76
"Titan Pharmaceuticals, Inc.","TTNP",1.04
"TherapeuticsMD, Inc.","TXMD",0.38
"The Brink's Co.","BCO",68.23
"The Beachbody Co., Inc.","BODY",2.08
"Westpac Banking Corp.","WBK",15.56
"Unilever Plc","UL",53.79
"Velodyne Lidar, Inc.","VLDR",4.23
"The Buckle, Inc.","BKE",39.74
"The Container Store Group, Inc.","TCS",11.22
"The9 Ltd.","NCTY",5.86
"The Duckhorn Portfolio, Inc.","NAPA",22.29
"Vertex Energy, Inc.","VTNR",4.9
"TimkenSteel Corp.","TMST",17.13
"Urstadt Biddle Properties, Inc.","UBP",18.79
"Washington Federal, Inc.","WAFD",36.02
"Vimeo Inc","VMEO",15.6
"The Children's Place, Inc.","PLCE",72.18
"UP Fintech Holding Ltd.","TIGR",4.33
"Vista Gold Corp.","VGZ",0.67
"Trip.com Group Ltd.","TCOM",25.01
"Western Asset Mortgage Capital Corp.","WMC",2.25
"TTM Technologies, Inc.","TTMI",15.51
"Soleno Therapeutics, Inc.","SLNO",0.43
"Tower Semiconductor Ltd.","TSEM",39.14
"Viomi Technology Co., Ltd.","VIOT",2.21
"Stanley Black & Decker, Inc.","SWK",189.25
"Soligenix, Inc.","SNGX",0.69
"Tronox Holdings Plc","TROX",24.2
"Smartsheet, Inc.","SMAR",62.96
"TPG RE Finance Trust, Inc.","TRTX",12.7
"TransMedics Group, Inc.","TMDX",17.34
"Valvoline, Inc.","VVV",35.31
"Solid Biosciences, Inc.","SLDB",1.58
"Surface Oncology, Inc.","SURF",4.48
"The Kroger Co.","KR",48.13
"US Well Services, Inc.","USWS",1.29
"Theratechnologies, Inc.","THTX",2.94
"Verona Pharma Plc","VRNA",6.85
"The Goldman Sachs Group, Inc.","GS",397.51
"Weibo Corp.","WB",33.45
"VIA optronics AG","VIAO",8.39
"Socket Mobile, Inc.","SCKT",4.12
"Sono Group N.V.","SEV",8.64
"South Jersey Industries, Inc.","SJI",26.05
"Texas Instruments Incorporated","TXN",179.44
"STAG Industrial, Inc.","STAG",44.78
"Tempur Sealy International, Inc.","TPX",44.86
"The Cooper Cos., Inc.","COO",408.69
"Upstart Holdings, Inc.","UPST",116.95
"Sonnet BioTherapeutics Holdings, Inc.","SONN",0.38
"The Trade Desk, Inc.","TTD",78.93
"VYNE Therapeutics, Inc.","VYNE",1.02
"So-Young International, Inc.","SY",3.04
"The Middleby Corp.","MIDD",197.34
"The Sherwin-Williams Co.","SHW",323.26
"Veeva Systems, Inc.","VEEV",231.36
"West Fraser Timber Co. Ltd.","WFG",91.86
"Sprott, Inc.","SII",41.22
"Union Pacific Corp.","UNP",254.77
"Thor Industries, Inc.","THO",106.42
"SunCoke Energy, Inc.","SXC",7.09
"StealthGas, Inc.","GASS",2.22
"SunLink Health Systems, Inc.","SSY",1.51
"VEON Ltd.","VEON",1.72
"Urstadt Biddle Properties, Inc.","UBA",21.22
"Textainer Group Holdings Ltd.","TGH",37.25
"VirnetX Holding Corp.","VHC",2.56
"Virtu Financial, Inc.","VIRT",29.6
"Village Farms International, Inc.","VFF",6
"Universe Pharmaceuticals, Inc.","UPC",1.6
"The Simply Good Foods Co.","SMPL",39.33
"The Ensign Group, Inc.","ENSG",80.31
"StoneCo Ltd.","STNE",16.13
"Varonis Systems, Inc.","VRNS",43.84
"TrueCar, Inc.","TRUE",3.76
"The GEO Group, Inc.","GEO",8.03
"Vale SA","VALE",14.81
"W.R. Berkley Corp.","WRB",84.6
"Wallbox BV","WBX",14
"The Community Financial Corp. (Maryland)","TCFC",39.24
"Sundial Growers, Inc.","SNDL",0.6
"United States Antimony Corp.","UAMY",0.49
"Weyerhaeuser Co.","WY",40.34
"Tandem Diabetes Care, Inc.","TNDM",131.12
"Vaxart, Inc.","VXRT",6.11
"United Rentals, Inc.","URI",325.88
"Veritone, Inc.","VERI",19.56
"Tuniu Corp.","TOUR",1.06
"Stifel Financial Corp.","SF",75.72
"The Bancorp, Inc. (Delaware)","TBBK",27.31
"The Chemours Co.","CC",36.03
"W.P. Carey, Inc.","WPC",80.64
"Synovus Financial Corp.","SNV",52.6
"White Mountains Insurance Group Ltd.","WTM",1028.9
"Timber Pharmaceuticals, Inc.","TMBR",0.4
"SRAX, Inc.","SRAX",4.35
"Western Digital Corp.","WDC",65.86
"Wave Life Sciences Ltd.","WVE",2.89
"TransUnion","TRU",111.32
"Twist Bioscience Corp.","TWST",66.84
"Takung Art Co., Ltd.","TKAT",3.38
"Tanger Factory Outlet Centers, Inc.","SKT",19.71
"Vista Oil & Gas SA de CV","VIST",5.71
"Sony Group Corporation - ADR","SONY",124.32
"Urban One, Inc.","UONE",5.04
"Terex Corp.","TEX",45.45
"Tradeweb Markets, Inc.","TW",91.5
"VistaGen Therapeutics, Inc.","VTGN",1.76
"Versus Systems, Inc.","VS",2.02
"Twilio, Inc.","TWLO",230.13
"Synopsys, Inc.","SNPS",330.36
"The New York Times Co.","NYT",42.7
"T2 Biosystems, Inc.","TTOO",0.47
"Vishay Intertechnology, Inc.","VSH",21.4
"Urban Outfitters, Inc.","URBN",28.72
"Tenet Healthcare Corp.","THC",74.9
"UTStarcom Holdings Corp.","UTSI",0.85
"Ulta Beauty, Inc.","ULTA",396.97
"TechnipFMC Plc","FTI",6.85
"Spirit Realty Capital, Inc.","SRC",48.2
"Snap-On, Inc.","SNA",218.91
"Walmart, Inc.","WMT",144.88
"The Kraft Heinz Co.","KHC",37.36
"Waste Management, Inc.","WM",161.79
"Syros Pharmaceuticals, Inc.","SYRS",3.5
"VMware, Inc.","VMW",120.54
"Tucows, Inc.","TCX",82.13
"Toast, Inc.","TOST",28.32
"Summit Wireless Technologies, Inc.","WISA",1.28
"Verra Mobility Corp.","VRRM",15.1
"voxeljet AG","VJET",6.15
"Uranium Energy Corp.","UEC",3.89
"Trex Co., Inc.","TREX",116.87
"Synchrony Financial","SYF",48.22
"TransGlobe Energy Corp.","TGA",3.16
"Turtle Beach Corp.","HEAR",21.23
"The Allstate Corp.","ALL",125.94
"The Eastern Co.","EML",26.44
"Valaris Ltd.","VAL",39.81
"Sonim Technologies, Inc.","SONM",0.85
"Tenaris SA","TS",22.42
"Vistra Corp.","VST",22.72
"T. Rowe Price Group, Inc.","TROW",191.56
"U.S. Global Investors, Inc.","GROW",5.01
"VerifyMe, Inc.","VRME",3.23
"Sol-Gel Technologies Ltd.","SLGL",7.63
"The Chefs' Warehouse, Inc.","CHEF",31.8
"Taylor Morrison Home Corp.","TMHC",30.84
"uCloudlink Group, Inc.","UCL",2.27
"The First of Long Island Corp.","FLIC",22.3
"Vector Group Ltd.","VGR",11.01
"Solitario Zinc Corp.","XPL",0.5
"Vulcan Materials Co.","VMC",207.93
"VF Corp.","VFC",72.49
"Syndax Pharmaceuticals, Inc.","SNDX",19.11
"Westport Fuel Systems, Inc.","WPRT",2.33
"Warner Music Group Corp.","WMG",39.97
"Teladoc Health, Inc.","TDOC",82.02
"STERIS Plc (Ireland)","STE",234.87
"Stem Inc - Ordinary Shares - Class A","STEM",15.84
"Visa, Inc.","V",216.91
"Take-Two Interactive Software, Inc.","TTWO",164.63
"Venus Concept, Inc.","VERO",1.6
"TEGNA, Inc.","TGNA",18.47
"Teva Pharmaceutical Industries Ltd.","TEVA",8.86
"Whitestone REIT","WSR",10.29
"UroGen Pharma Ltd.","URGN",8.78
"Talos Energy, Inc.","TALO",10.92
"Stevanato Group SpA","STVN",17.98
"Sprout Social, Inc.","SPT",74.97
"Welltower, Inc.","WELL",87.83
"Ur-Energy, Inc.","URG",1.45
"SmileDirectClub, Inc.","SDC",2.12
"Urban Edge Properties","UE",19.51
"T-Mobile US, Inc.","TMUS",109.68
"Superior Industries International, Inc.","SUP",4.92
"Universal Health Services, Inc.","UHS",132.05
"TIAN RUIXIANG Holdings Ltd.","TIRX",1.61
"Vinci Partners Investments Ltd.","VINP",11.23
"Venator Materials Plc","VNTR",2.55
"TripAdvisor, Inc.","TRIP",28.22
"Sumo Logic, Inc.","SUMO",12.13
"Viemed Healthcare, Inc.","VMD",5.48
"Steel Dynamics, Inc.","STLD",62.32
"Universal Security Instruments, Inc.","UUU",2.98
"The Williams Cos., Inc.","WMB",28
"UMH Properties, Inc.","UMH",25.04
"Waterdrop, Inc.","WDH",1.34
"Supernus Pharmaceuticals, Inc.","SUPN",29.78
"Spark Networks SE","LOV",3.33
"VTEX (Cayman Islands)","VTEX",8.75
"The Boeing Co.","BA",215.47
"Voyager Therapeutics, Inc.","VYGR",2.82
"Univar Solutions, Inc.","UNVR",28.01
"Super League Gaming, Inc.","SLGG",2.22
"ThermoGenesis Holdings, Inc.","THMO",1.02
"U.S. Silica Holdings, Inc.","SLCA",10.59
"VICI Properties, Inc.","VICI",28.56
"Universal Health Realty Income Trust","UHT",60.24
"Verisk Analytics, Inc.","VRSK",206.66
"Tonix Pharmaceuticals Holding Corp.","TNXP",0.34
"Tractor Supply Co.","TSCO",228.33
"Urban One, Inc.","UONEK",3.88
"Viavi Solutions, Inc.","VIAV",17.09
"Warrior Met Coal, Inc.","HCC",25.96
"Toyota Motor Corp.","TM",200.54
"Tuya, Inc.","TUYA",5.44
"Uber Technologies, Inc.","UBER",41.5
"Telephone & Data Systems, Inc.","TDS",20.81
"Webster Financial Corp.","WBS",63.16
"Syneos Health, Inc.","SYNH",91.73
"Transocean Ltd.","RIG",3.31
"UTZ Brands, Inc.","UTZ",18.01
"Honest Company Inc (The )","HNST",7.09
"The TJX Cos., Inc.","TJX",74.37
"Tyson Foods, Inc.","TSN",91.01
"Stereotaxis, Inc.","STXS",6.15
"Weatherford International Plc","WFRD",27.39
"West Pharmaceutical Services, Inc.","WST",390.29
"Vericel Corp.","VCEL",36.6
"Vaccinex, Inc.","VCNX",1.1
"Whirlpool Corp.","WHR",226.93
"The Alkaline Water Co., Inc.","WTER",1.15
"Tellurian, Inc.","TELL",2.99
"Tsakos Energy Navigation Ltd.","TNP",8.17
"Thermo Fisher Scientific, Inc.","TMO",606.82
"Terreno Realty Corp.","TRNO",78.33
"Tesla, Inc.","TSLA",1026.87
"Uniti Group, Inc.","UNIT",13.03
"Steelcase, Inc.","SCS",11.92
"ViaSat, Inc.","VSAT",46.98
"Wayfair, Inc.","W",180.08
"Tenable Holdings, Inc.","TENB",49.42
"Vislink Technologies, Inc.","VISL",1.11
"Westwater Resources, Inc.","WWR",2.31
"Top Ships, Inc.","TOPS",0.91
"Sotherly Hotels, Inc.","SOHO",2.13
"The Carlyle Group, Inc.","CG",51.03
"Unity Biotechnology, Inc.","UBX",1.59
"Verb Technology Co., Inc.","VERB",1.21
"WestRock Co.","WRK",46.95
"Travere Therapeutics, Inc.","TVTX",27.84
"Summit Hotel Properties, Inc.","INN",10.3
"SolarEdge Technologies, Inc.","SEDG",249.06
"Sypris Solutions, Inc.","SYPR",2.34
"Trane Technologies Plc","TT",189.34
"The Cato Corp.","CATO",17.08
"The Clorox Co.","CLX",179.94
"Vertiv Holdings Co.","VRT",22.55
"The Bank of Princeton","BPRN",30.5
"SSR Mining, Inc.","SSRM",16.35
"UDR, Inc.","UDR",58.21
"STORE Capital Corp.","STOR",34.22
"VivoPower International Plc","VVPR",3.06
"The Andersons, Inc.","ANDE",39.49
"Superior Drilling Products, Inc.","SDPI",0.8
"Blackstone Inc.","BX",116.71
"Taoping, Inc.","TAOP",1.59
"SOC Telemed, Inc.","TLMD",1.16
"Snap, Inc.","SNAP",41.33
"Steven Madden Ltd.","SHOO",43.99
"Vontier Corp.","VNT",30.58
"Washington Real Estate Investment Trust","WRE",26.59
"The First Bancshares, Inc. (Mississippi)","FBMS",39.79
"Teradyne, Inc.","TER",158.24
"Terminix Global Holdings, Inc.","TMX",43.58
"US Foods Holding Corp.","USFD",35.92
"Sorrento Therapeutics, Inc.","SRNE",4.54
"United Parcel Service, Inc.","UPS",218.16
"WEC Energy Group, Inc.","WEC",97.21
"UGI Corp.","UGI",44.83
"Squarespace Inc - Ordinary Shares - Class A","SQSP",26.81
"Toughbuilt Industries, Inc.","TBLT",0.37
"Vascular Biogenics Ltd.","VBLT",1.78
"Vertex Pharmaceuticals, Inc.","VRTX",221.88
"Stryker Corp.","SYK",263.43
"Twitter, Inc.","TWTR",39.67
"Valneva SE","VALN",39.94
"Sumitomo Mitsui Financial Group, Inc.","SMFG",7.23
"Vornado Realty Trust","VNO",45.77
"UTime Ltd.","UTME",2.64
"United Airlines Holdings, Inc.","UAL",47.31
"Spirit Airlines, Inc.","SAVE",23.62
"Stellantis NV","STLA",20.44
"The AZEK Co., Inc.","AZEK",41.66
"Verint Systems, Inc.","VRNT",52.35
"The Southern Co.","SO",68.63
"TAT Technologies Ltd.","TATT",6.43
"Walgreens Boots Alliance, Inc.","WBA",53.83
"Uranium Royalty Corp.","UROY",4.04
"U.S. Bancorp","USB",61.02
"The Hain Celestial Group, Inc.","HAIN",42.47
"Veru, Inc.","VERU",5.45
"Standard Lithium Ltd.","SLI",8.6
"Sonos, Inc.","SONO",28.68
"Snowflake, Inc.","SNOW",299.67
"TORM Plc","TRMD",7.91
"Vermilion Energy, Inc.","VET",13.97
"The Home Depot, Inc.","HD",393.56
"Transportadora de Gas del Sur SA","TGS",4.46
"SS&C Technologies Holdings, Inc.","SSNC",82.96
"SuperCom Ltd.","SPCB",0.5
"Tilray, Inc.","TLRY",6.43
"WESCO International, Inc.","WCC",128.69
"Truist Financial Corp.","TFC",65.01
"Summit Materials, Inc.","SUM",39.13
"Westlake Chemical Corp.","WLK",103.28
"Wheeler Real Estate Investment Trust, Inc.","WHLR",1.9
"Two Harbors Investment Corp.","TWO",5.82
"uniQure NV","QURE",19.54
"Switch, Inc. (Nevada)","SWCH",26.4
"SOS Ltd.","SOS",0.8
"Target Corp.","TGT",230.78
"Viveve Medical, Inc.","VIVE",1.16
"Vroom, Inc.","VRM",9.71
"WalkMe Ltd.","WKME",17.98
"Ventas, Inc.","VTR",53.62
"The J. M. Smucker Co.","SJM",143.35
"Sunstone Hotel Investors, Inc.","SHO",12.05
"Whiting Petroleum Corp.","WLL",71.01
"UiPath Inc - Ordinary Shares - Class A","PATH",39.19
"Tri Pointe Homes, Inc.","TPH",25.36
"Wah Fu Education Group Ltd.","WAFU",3.53
"Smith & Nephew PLC","SNN",35.3
"Werner Enterprises, Inc.","WERN",46.01
"Spotify Technology SA","SPOT",223.75
"The Dixie Group, Inc.","DXYN",5.44
"Trinseo SA","TSE",57.16
"Studio City International Holdings Ltd.","MSC",5.69
"The Toronto-Dominion Bank","TD",79.21
"Toll Brothers, Inc.","TOL",65.51
"The Timken Co.","TKR",74.07
"ViacomCBS, Inc.","VIAC",35.4
"Synaptics, Inc.","SYNA",251.87
"TG Therapeutics, Inc.","TGTX",17.53
"Stantec, Inc.","STN",55.01
"ViewRay, Inc.","VRAY",4.71
"Weidai Ltd.","WEI",0.75
"Southwestern Energy Co.","SWN",4.44
"Stride, Inc.","LRN",31.55
"Uxin Ltd.","UXIN",1.28
"Vitru Ltd.","VTRU",13.58
"SunPower Corp.","SPWR",19.39
"Tantech Holdings Ltd.","TANH",0.44
"Sohu.com Ltd.","SOHU",16.48
"Waste Connections, Inc.","WCN",130.24
"Tupperware Brands Corp.","TUP",15.55
"Turquoise Hill Resources Ltd.","TRQ",15.4
"The First Bancorp, Inc. (Maine)","FNLC",33.47
"VNET Group Inc - ADR","VNET",8.72
"TreeHouse Foods, Inc.","THS",44.03
"SunRun, Inc.","RUN",31.71
"Ternium SA","TX",48.24
"Williams-Sonoma, Inc.","WSM",150.89
"TotalEnergies SE","TTE",52.97
"Vintage Wine Estates, Inc.","VWE",10.91
"Victoria`s Secret & Co","VSCO",56.79
"Vuzix Corp.","VUZI",7.97
"TransAlta Corp.","TAC",10.99
"Valley National Bancorp","VLY",14.68
"Teradata Corp.","TDC",42.37
"Textron, Inc.","TXT",78.28
"The Coca-Cola Co.","KO",60.32
"Takeda Pharmaceutical Co., Ltd.","TAK",13.91
"Western Alliance Bancorp.","WAL",119.23
"VeriSign, Inc.","VRSN",237.82
"Under Armour, Inc.","UAA",19.85
"Ucommune International Ltd.","UK",0.6
"VBI Vaccines, Inc.","VBIV",2.12
"Sun Communities, Inc.","SUI",196.24
"W&T Offshore, Inc.","WTI",3.63
"The Bank of New York Mellon Corp.","BK",62.33
"Trilogy Metals, Inc.","TMQ",1.61
"Synthetic Biologics, Inc.","SYN",0.28
"Sunnova Energy International, Inc.","NOVA",23.95
"The RealReal, Inc.","REAL",11.86
"Trinity Biotech Plc","TRIB",1.33
"Synchronoss Technologies, Inc.","SNCR",2.26
"Vanda Pharmaceuticals, Inc.","VNDA",15.4
"Sprouts Farmers Markets, Inc.","SFM",30.2
"Sunworks, Inc.","SUNW",2.82
"TETRA Technologies, Inc.","TTI",3.08
"Taro Pharmaceutical Industries Ltd.","TARO",48.23
"VolitionRX Ltd.","VNRX",3.06
"Southwest Airlines Co.","LUV",45.35
"The Walt Disney Co.","DIS",157.84
"STAAR Surgical Co.","STAA",82.58
"Starbucks Corp.","SBUX",107.58
"Sunlands Technology Group","STG",6.37
"Splunk, Inc.","SPLK",114.76
"Udemy, Inc.","UDMY",14.69
"The Wendy's Co.","WEN",24.07
"Vocera Communications, Inc.","VCRA",79.16
"Trinity Industries, Inc.","TRN",31.16
"Wells Fargo & Co.","WFC",54.8
"Surgalign Holdings, Inc.","SRGA",0.8
"The Western Union Co.","WU",19.01
"Spirit AeroSystems Holdings, Inc.","SPR",47.45
"Virgin Galactic Holdings, Inc.","SPCE",12.45
"Smart Share Global Ltd.","EM",1.76
"US Energy Corp.","USEG",3.4
"Vir Biotechnology, Inc.","VIR",33.64
"Tencent Music Entertainment Group","TME",6.74
"State Street Corp.","STT",101.67
"TAL Education Group","TAL",3.43
"Texas Roadhouse, Inc.","TXRH",90.19
"Star Bulk Carriers Corp.","SBLK",22.54
"SolarWinds Corp.","SWI",14.04
"Verizon Communications, Inc.","VZ",54.25
"The PNC Financial Services Group, Inc.","PNC",223.71
"Sysco Corp.","SYY",80.44
"Telos Corp.","TLS",13.74
"Tufin Software Technologies Ltd.","TUFN",9.4
"Spectrum Pharmaceuticals, Inc.","SPPI",1.16
"Smith & Wesson Brands, Inc.","SWBI",17.63
"Tenneco, Inc.","TEN",12.86
"Trimble, Inc.","TRMB",79.11
"Sweetgreen Inc - Ordinary Shares - Class A","SG",27.23
"TPI Composites, Inc.","TPIC",13.98
"Westinghouse Air Brake Technologies Corp.","WAB",95.1
"The AES Corp.","AES",23.11
"Unity Software, Inc.","U",120.28
"Trevena, Inc.","TRVN",0.63
"Tremor International Ltd.","TRMR",14.1
"Tiziana Life Sciences Plc","TLSA",0.98
"Viatris, Inc.","VTRS",14.75
"Valero Energy Corp.","VLO",80.99
"Starwood Property Trust, Inc.","STWD",24.88
"The Estée Lauder Companies, Inc.","EL",354.97
"Veracyte, Inc.","VCYT",33.6
"The Charles Schwab Corp.","SCHW",91.74
"Staffing 360 Solutions, Inc.","STAF",1.01
"Vital Farms, Inc.","VITL",18.46
"Under Armour, Inc.","UA",16.98
"Vinco Ventures, Inc.","BBIG",2.31
"The Hartford Financial Services Group, Inc.","HIG",72.06
"Targa Resources Corp.","TRGP",55.91
"Tattooed Chef, Inc.","TTCF",14.55
"Tyme Technologies, Inc.","TYME",0.6
"Stratasys Ltd.","SSYS",23.83
"Block, Inc.","SQ",141.55
"Tootsie Roll Industries, Inc.","TR",36.42
"Broadmark Realty Capital, Inc.","BRMK",9.76
"Callaway Golf Co.","ELY",26.53
"Caesars Entertainment, Inc.","CZR",89.62
"ChemoCentryx, Inc.","CCXI",36.6
"Bioceres Crop Solutions Corp.","BIOX",13.52
"Balchem Corp.","BCPC",158.87
"Avalo Therapeutics Inc","AVTX",1.04
"Casey's General Stores, Inc.","CASY",196.64
"Builders FirstSource, Inc.","BLDR",78.63
"Brookfield Asset Management, Inc.","BAM",57.37
"BP plc - ADR","BP",29.68
"Boston Omaha Corp.","BOMN",29.11
"Bruker Corp.","BRKR",74.19
"Avidity Biosciences, Inc.","RNA",19.2
"ChampionX Corp.","CHX",22.9
"BlueCity Holdings Ltd.","BLCT",1.44
"CAE, Inc.","CAE",25.51
"Azenta Inc","AZTA",93.57
"Bumble Inc - Ordinary Shares - Class A","BMBL",31.44
"Cabot Corp.","CBT",58.53
"Blackstone Mortgage Trust, Inc.","BXMT",31.31
"Blueprint Medicines Corp.","BPMC",91.55
"BankFinancial Corp.","BFIN",10.84
"Brown-Forman Corp.","BF/B",68.14
"Avery Dennison Corp.","AVY",213.27
"BellRing Brands, Inc.","BRBR",26.24
"AVITA Medical, Inc.","RCEL",11.29
"Castlight Health, Inc.","CSLT",2.04
"Camtek Ltd.","CAMT",41.51
"BM Technologies, Inc.","BMTX",9.3
"Bank of Marin Bancorp","BMRC",38.73
"First Wave BioPharma Inc","FWBI",1.48
"CareDx, Inc.","CDNA",39.07
"CareCloud, Inc.","MTBC",5.91
"BlackRock Capital Investment Corp.","BKCC",4.18
"Blackrock TCP Capital Corp.","TCPC",13.64
"BGSF, Inc.","BGSF",13.98
"Bel Fuse, Inc.","BELFB",13.44
"China Sxt Pharmaceuticals, Inc.","SXTC",0.54
"Carrols Restaurant Group, Inc.","TAST",2.9
"BiomX, Inc.","PHGE",1.55
"BJ's Wholesale Club Holdings, Inc.","BJ",65.73
"Black Diamond Therapeutics, Inc.","BDTX",5.11
"Canopy Growth Corp.","CGC",8.52
"Calyxt, Inc.","CLXT",2.17
"cbdMD, Inc.","YCBD",1.07
"BlackBerry Ltd.","BB",8.87
"China Petroleum & Chemical Corp.","SNP",50.2
"Butterfly Network, Inc.","BFLY",6.07
"Beazer Homes USA, Inc.","BZH",20.96
"Ballard Power Systems, Inc.","BLDP",11.66
"Bottomline Technologies, Inc.","EPAY",56.36
"BioDelivery Sciences International, Inc.","BDSI",3.1
"Calliditas Therapeutics AB","CALT",23.28
"Brown-Forman Corp.","BF/A",63.2
"Best Buy Co., Inc.","BBY",102.49
"Benitec Biopharma, Inc.","BNTC",2.42
"Build-A-Bear Workshop, Inc.","BBW",21.12
"CarMax, Inc.","KMX",121.08
"Axon Enterprise, Inc.","AXON",145.08
"Babcock & Wilcox Enterprises, Inc.","BW",8.65
"Cars.com, Inc.","CARS",15.92
"Carriage Services, Inc.","CSV",58.02
"Blink Charging Co.","BLNK",23.68
"Capital Bancorp, Inc. (Maryland)","CBNK",26.12
"Calavo Growers, Inc.","CVGW",43.81
"Canadian Solar, Inc.","CSIQ",29.78
"Bridgeline Digital, Inc.","BLIN",2.11
"CareTrust REIT, Inc.","CTRE",23.09
"Chicken Soup for the Soul Entertainment, Inc.","CSSE",13.85
"Baxter International, Inc.","BAX",87.46
"Camden Property Trust","CPT",166.98
"Axos Financial, Inc.","AX",60.54
"Calix, Inc.","CALX",59.77
"Aviat Networks, Inc.","AVNW",31.4
"Cass Information Systems, Inc.","CASS",40.93
"C.H. Robinson Worldwide, Inc.","CHRW",108.43
"Charter Communications, Inc.","CHTR",610.31
"Bicycle Therapeutics Plc","BCYC",50.66
"Carter Bankshares, Inc.","CARE",16.14
"Berry Global Group, Inc.","BERY",73.16
"Boqii Holding Ltd.","BQ",0.8
"Biogen, Inc.","BIIB",232.59
"Centogene NV","CNTG",5.02
"Blonder Tongue Laboratories, Inc.","BDR",0.56
"Blue Bird Corp.","BLBD",15.55
"Capstone Green Energy Corp.","CGRN",3.31
"BioNano Genomics, Inc.","BNGO",2.73
"Boston Scientific Corp.","BSX",42.11
"Bill.com Holdings, Inc.","BILL",201.83
"CF Bankshares, Inc.","CFBK",20.5
"Bally's Corp.","BALY",36.92
"Centene Corp.","CNC",76.31
"BancFirst Corp. (Oklahoma)","BANF",74.12
"Century Aluminum Co.","CENX",17.56
"Century Casinos, Inc.","CNTY",11.87
"Boise Cascade Co.","BCC",69.01
"ChoiceOne Financial Services, Inc.","COFS",26.21
"Avient Corp.","AVNT",56.06
"Chromadex Corp.","CDXC",3.31
"B2Gold Corp.","BTG",3.64
"Casa Systems, Inc.","CASA",5.27
"Bel Fuse, Inc.","BELFA",15.04
"Brixmor Property Group, Inc.","BRX",25.68
"Bitfarms Ltd. (Canada)","BITF",4.29
"Axsome Therapeutics, Inc.","AXSM",32.9
"Braze Inc - Ordinary Shares - Class A","BRZE",64.15
"Barclays Plc","BCS",11.35
"Bilibili, Inc.","BILI",38.43
"BRF SA","BRFS",4.24
"BioCardia, Inc.","BCDA",1.7
"Cano Health, Inc.","CANO",7.67
"Black Hills Corp.","BKH",70.34
"Celsion Corp.","CLSN",0.52
"Cavco Industries, Inc.","CVCO",283.78
"Century Therapeutics, Inc.","IPSC",13.23
"Carnival Corp.","CCL",21.91
"Bellicum Pharmaceuticals, Inc.","BLCM",1.48
"CDK Global, Inc.","CDK",42.37
"Burlington Stores, Inc.","BURL",253.33
"Brandywine Realty Trust","BDN",14.7
"Capital City Bank Group, Inc.","CCBG",27.37
"Brinker International, Inc.","EAT",37.7
"Celanese Corp.","CE",172.02
"Bio-Techne Corp.","TECH",415.15
"Boot Barn Holdings, Inc.","BOOT",121.86
"Cadiz, Inc.","CDZI",4.08
"BankUnited, Inc.","BKU",46.36
"BK Technologies Corp.","BKTI",2.95
"AXT, Inc.","AXTI",8.42
"Bank OZK","OZK",50.84
"Booking Holdings, Inc.","BKNG",2434.62
"Chatham Lodging Trust","CLDT",13.72
"Campbell Soup Co.","CPB",45.84
"Barings BDC, Inc.","BBDC",11.04
"Bandwidth, Inc.","BAND",62.89
"BridgeBio Pharma, Inc.","BBIO",14.63
"Biomerica, Inc.","BMRA",4.18
"Bit Brother Ltd.","BTB",0.48
"B. Riley Financial, Inc.","RILY",84.59
"Bentley Systems, Inc.","BSY",42.74
"ChannelAdvisor Corp.","ECOM",21.92
"BCB Bancorp, Inc.","BCBP",15.81
"Chegg, Inc.","CHGG",29.55
"CIM Commercial Trust Corp.","CMCT",8.08
"Bloomin' Brands, Inc.","BLMN",21.29
"Broadridge Financial Solutions, Inc.","BR",171.47
"AxoGen, Inc.","AXGN",9.83
"Avinger, Inc.","AVGR",0.46
"BioCryst Pharmaceuticals, Inc.","BCRX",11.57
"Cedar Realty Trust, Inc.","CDR",24.79
"Brookfield Infrastructure Corp. (New York)","BIPC",64.3
"BOK Financial Corp.","BOKF",111.47
"Burcon NutraScience Corp.","BRCN",1.16
"Berkshire Hills Bancorp, Inc.","BHLB",30.51
"Cango, Inc. (Cayman island)","CANG",3.24
"Beasley Broadcast Group, Inc.","BBGI",2
"Caterpillar, Inc.","CAT",224.21
"Cellectis SA","CLLS",7.73
"CECO Environmental Corp.","CECE",6.23
"BioXcel Therapeutics, Inc.","BTAI",19.68
"Barnes & Noble Education, Inc.","BNED",6.7
"Bonso Electronics International, Inc.","BNSO",4.25
"Brickell Biotech, Inc.","BBI",0.23
"Cabaletta Bio, Inc.","CABA",3.5
"Burford Capital Ltd.","BUR",10.62
"Cambridge Bancorp","CATC",92.68
"Blue Foundry Bancorp","BLFY",14.69
"Camden National Corp. (Maine)","CAC",51.72
"Baidu, Inc.","BIDU",153.38
"BioLineRx Ltd.","BLRX",2.06
"Aytu Biopharma, Inc.","AYTU",1.37
"Banco Macro SA","BMA",14
"Bit Digital, Inc.","BTBT",5.29
"BIMI International Medical, Inc.","BIMI",0.48
"CBIZ, Inc.","CBZ",38.17
"Bausch Health Cos., Inc.","BHC",27.03
"Caleres, Inc.","CAL",22.6
"Byline Bancorp, Inc.","BY",29
