"company","tikr","price"
"AMERISAFE, Inc.","AMSF",55.29
"ArcBest Corp.","ARCB",100.72
"Arrow Electronics, Inc.","ARW",132.96
"Aflac, Inc.","AFL",62.15
"Abercrombie & Fitch Co.","ANF",33.17
"American Tower Corp.","AMT",266.57
"AerSale Corp.","ASLE",15.76
"Alphabet, Inc.","GOOG",2740.74
"AVEO Pharmaceuticals, Inc.","AVEO",4.19
"Agile Therapeutics, Inc.","AGRX",0.45
"Artelo Biosciences, Inc.","ARTL",0.5
"ADMA Biologics, Inc.","ADMA",1.34
"Athira Pharma, Inc.","ATHA",12.05
"AutoZone, Inc.","AZO",2015.01
"Advanced Drainage Systems, Inc.","WMS",126.02
"Antero Resources Corp.","AR",18.43
"AgEagle Aerial Systems, Inc.","UAVS",1.52
"Armstrong Flooring, Inc.","AFI",2.25
"Artesian Resources Corp.","ARTNA",44.65
"Altimmune, Inc.","ALT",8.28
"Acuity Brands, Inc.","AYI",214.59
"Abeona Therapeutics, Inc.","ABEO",0.31
"Annaly Capital Management, Inc.","NLY",8.01
"ADC Therapeutics SA","ADCT",19.8
"AutoWeb, Inc.","AUTO",3.29
"ANI Pharmaceuticals, Inc.","ANIP",43.87
"American National Group, Inc.","ANAT",188.91
"Arthur J. Gallagher & Co.","AJG",165.38
"Autolus Therapeutics Plc","AUTL",4.66
"Air Industries Group","AIRI",0.92
"Atkore, Inc.","ATKR",105.29
"Adobe, Inc.","ADBE",510.56
"Auddia, Inc.","AUUD",1.76
"Atreca, Inc.","BCEL",2.63
"Abcam Plc","ABCM",20.95
"APA Corporation","APA",29.67
"AST Spacemobile, Inc.","ASTS",7.47
"Aeglea Biotherapeutics, Inc.","AGLE",4.29
"Avantor, Inc.","AVTR",36.6
"Actinium Pharmaceuticals, Inc.","ATNM",6.15
"AlloVir, Inc.","ALVR",11.54
"A10 Networks, Inc.","ATEN",14.94
"ABB Ltd.","ABB",38.09
"AerCap Holdings NV","AER",67.73
"Amesite, Inc.","AMST",1.06
"Alpine Immune Sciences, Inc.","ALPN",10.69
"ADT, Inc.","ADT",7.89
"Atlas Technical Consultants, Inc.","ATCX",7.97
"Addus HomeCare Corp.","ADUS",85.6
"AMC Entertainment Holdings, Inc.","AMC",23
"Angi, Inc.","ANGI",8.44
"Ardmore Shipping Corp.","ASC",3.54
"Ameresco, Inc.","AMRC",67.99
"American Airlines Group, Inc.","AAL",19.28
"Agilon Health, Inc.","AGL",23.25
"Alta Equipment Group, Inc.","ALTG",14.64
"Alpha Teknova, Inc.","TKNO",17.42
"American Electric Power Co., Inc.","AEP",90.81
"1stdibs.com, Inc.","DIBS",11.01
"American Well Corp.","AMWL",4.87
"Arrow Financial Corp.","AROW",36.62
"Arconic Corp.","ARNC",34.73
"Apartment Investment & Management Co.","AIV",7.26
"Armada Hoffler Properties, Inc.","AHH",14.98
"AGM Group Holdings, Inc.","AGMH",2.44
"Apollo Investment Corp.","AINV",13.2
"4D Pharma Plc","LBPS",5.54
"Athersys, Inc.","ATHX",0.87
"Automatic Data Processing, Inc.","ADP",238.75
"Alset EHome International, Inc.","AEI",0.48
"Allbirds, Inc - Ordinary Shares Class A.","BIRD",13.95
"Arvinas, Inc.","ARVN",69.06
"Ampio Pharmaceuticals, Inc.","AMPE",0.53
"Analog Devices, Inc.","ADI",168.83
"AptarGroup, Inc.","ATR",123.64
"Adaptimmune Therapeutics Plc","ADAP",3.5
"Arbor Realty Trust, Inc.","ABR",18.75
"Aurora Cannabis, Inc.","ACB",5.52
"AvePoint, Inc.","AVPT",6.21
"Amicus Therapeutics, Inc.","FOLD",11.41
"AirNet Technology, Inc.","ANTE",1.51
"Advanced Energy Industries, Inc.","AEIS",89.57
"Agree Realty Corp.","ADC",69.17
"Applied Materials, Inc.","AMAT",150.72
"Agilysys, Inc.","AGYS",43.66
"Aterian Inc","ATER",3.86
"AGNC Investment Corp.","AGNC",15.31
"Angion Biomedica Corp.","ANGN",2.6
"ACNB Corp.","ACNB",33.5
"aTyr Pharma, Inc.","LIFE",6.73
"Argo Blockchain Plc","ARBK",11.25
"Arch Resources, Inc.","ARCH",91.64
"Asure Software, Inc.","ASUR",7.26
"Arista Networks, Inc.","ANET",129.5
"Ambarella, Inc.","AMBA",157.6
"AppHarvest, Inc.","APPH",4.1
"Alignment Healthcare, Inc.","ALHC",10.51
"Alfi, Inc.","ALF",1.92
"Anheuser-Busch InBev SA/NV","BUD",62.93
"AudioEye, Inc.","AEYE",6.86
"Agenus, Inc.","AGEN",2.99
"ADDvantage Technologies Group, Inc.","AEY",1.51
"Atomera, Inc.","ATOM",17.45
"Apple, Inc.","AAPL",172.19
"Astrotech Corp.","ASTC",0.69
"Algonquin Power & Utilities Corp.","AQN",14.18
"A. O. Smith Corp.","AOS",83.17
"Arena Pharmaceuticals, Inc.","ARNA",93.16
"Alto Ingredients, Inc.","ALTO",5.17
"AgeX Therapeutics, Inc.","AGE",1.09
"Angel Oak Mortgage, Inc.","AOMR",16.87
"Agilent Technologies, Inc.","A",145.15
"ANSYS, Inc.","ANSS",361.73
"Align Technology, Inc.","ALGN",546.7
"Akamai Technologies, Inc.","AKAM",110.51
"Anebulo Pharmaceuticals, Inc.","ANEB",6.6
"Aadi Bioscience Inc","AADI",21.8
"Alcoa Corp.","AA",62.37
"Applied Optoelectronics, Inc.","AAOI",4.69
"Alkami Technology, Inc.","ALKT",17.96
"Arbutus Biopharma Corp.","ABUS",3.51
"Argan, Inc.","AGX",39.26
"Assertio Holdings, Inc.","ASRT",2.71
"American States Water Co.","AWR",98.43
"Appian Corp.","APPN",60.93
"APi Group Corp.","APG",25.51
"American Financial Group, Inc.","AFG",137.71
"Aspen Group, Inc.","ASPU",2.47
"ACI Worldwide, Inc.","ACIW",34.06
"Albertsons Cos., Inc.","ACI",31.21
"Aethlon Medical, Inc.","AEMD",1.82
"Arcturus Therapeutics Holdings, Inc.","ARCT",34.19
"Arrowhead Pharmaceuticals, Inc.","ARWR",58.93
"AcuityAds Holdings, Inc.","ATY",3.39
"Antares Pharma, Inc.","ATRS",3.46
"Alpha Metallurgical Resources, Inc.","AMR",62.88
"ACV Auctions, Inc.","ACVA",17.87
"Adecoagro SA","AGRO",7.51
"ATRenew Inc","RERE",6
"Avanos Medical, Inc.","AVNS",33.36
"AMETEK, Inc.","AME",142.36
"AMC Networks, Inc.","AMCX",40.63
"Absolute Software Corp.","ABST",8.46
"AAON, Inc.","AAON",73.96
"Alaska Air Group, Inc.","ALK",55.85
"Adtalem Global Education, Inc.","ATGE",30.21
"Achilles Therapeutics Plc","ACHL",4.28
"22nd Century Group, Inc.","XXII",2.76
"Acer Therapeutics, Inc.","ACER",2.31
"Alkermes Plc","ALKS",24.02
"Accenture Plc","ACN",370.74
"Acurx Pharmaceuticals Inc","ACXP",4.41
"America Movil SAB de CV","AMOV",20.99
"Aclaris Therapeutics, Inc.","ACRS",12.7
"Affirm Holdings, Inc.","AFRM",79.67
"Allied Motion Technologies, Inc.","AMOT",41.23
"Antelope Enterprise Holdings Ltd.","AEHL",1.81
"Alexander & Baldwin, Inc.","ALEX",24.41
"Arco Platform Ltd.","ARCE",18.62
"Aldeyra Therapeutics, Inc.","ALDX",3.86
"ASML Holding NV - ADR","ASML",756.53
"Airbnb, Inc.","ABNB",166.19
"Amcor Plc","AMCR",12.12
"Akouos, Inc.","AKUS",8.33
"AC Immune SA","ACIU",4.84
"Arlington Asset Investment Corp.","AAIC",3.6
"Alibaba Group Holding Ltd - ADR","BABA",129.76
"AgriFORCE Growing Systems Ltd.","AGRI",1.9
"10X Genomics, Inc.","TXG",127.89
"Adamis Pharmaceuticals Corp.","ADMP",0.57
"Ameris Bancorp","ABCB",54.04
"ARC Document Solutions, Inc.","ARC",3.7
"American Axle & Manufacturing Holdings, Inc.","AXL",9.94
"AbbVie, Inc.","ABBV",134.88
"17 Education & Technology Group, Inc.","YQ",1.16
"Achieve Life Sciences, Inc.","ACHV",8.23
"2U, Inc.","TWOU",18.83
"Atlas Air Worldwide Holdings, Inc.","AAWW",88.22
"Arcosa, Inc.","ACA",51.39
"Akebia Therapeutics, Inc.","AKBA",2.22
"Ashford Hospitality Trust, Inc.","AHT",10.47
"American Resources Corp. (Indiana)","AREC",1.94
"AngioDynamics, Inc.","ANGO",23.46
"360 DigiTech, Inc.","QFIN",20.18
"Alimera Sciences, Inc.","ALIM",4.83
"Anaplan, Inc.","PLAN",44.24
"Amgen, Inc.","AMGN",227.28
"Avenue Therapeutics, Inc.","ATXI",0.91
"180 Life Sciences Corp.","ATNF",3.32
"Alzamend Neuro, Inc.","ALZN",1.92
"ARKO Corp.","ARKO",8.15
"Altice USA, Inc.","ATUS",16.11
"Allison Transmission Holdings, Inc.","ALSN",38.01
"Alector, Inc.","ALEC",17.93
"Assurant, Inc.","AIZ",158.68
"Alleghany Corp.","Y",674.53
"Albemarle Corp.","ALB",235.89
"Aquestive Therapeutics, Inc.","AQST",3.85
"Allogene Therapeutics, Inc.","ALLO",13.46
"Apogee Enterprises, Inc.","APOG",47.22
"Ameren Corp.","AEE",88.23
"Armata Pharmaceuticals, Inc.","ARMP",5.94
"Anixa Biosciences, Inc.","ANIX",3.15
"Alphabet, Inc.","GOOGL",2740.24
"Acadia Realty Trust","AKR",22.18
"Amneal Pharmaceuticals, Inc.","AMRX",4.63
"American Superconductor Corp.","AMSC",10.24
"Alexander's, Inc.","ALX",272.88
"Applied Therapeutics, Inc.","APLT",4.14
"Abbott Laboratories","ABT",135.53
"1895 Bancorp of Wisconsin, Inc.","BCOW",10.85
"AIM ImmunoTech, Inc.","AIM",0.91
"Arcimoto, Inc.","FUV",7.52
"Amedisys, Inc.","AMED",148.92
"Alico, Inc.","ALCO",38.15
"Amerant Bancorp, Inc.","AMTB",34.78
"Anterix, Inc.","ATEX",55.5
"AdaptHealth Corp.","AHCO",22.26
"Art's-Way Manufacturing Co., Inc.","ARTW",3.5
"Avalon GloboCare Corp.","AVCO",0.74
"Avadel Pharmaceuticals Plc","AVDL",6.99
"Acacia Research Corp.","ACTG",5.07
"Apria, Inc.","APR",29.68
"Avaya Holdings Corp.","AVYA",18.8
"Ares Commercial Real Estate Corp.","ACRE",14.75
"Afya Ltd.","AFYA",13.5
"ASGN, Inc.","ASGN",119.56
"Air Products & Chemicals, Inc.","APD",297.47
"Acme United Corp.","ACU",33.06
"Applied UV, Inc.","AUVI",2.15
"Asensus Surgical Inc","ASXC",0.95
"American Shared Hospital Services","AMS",2.36
"Accolade, Inc. (Pennsylvania)","ACCD",20.92
"American Outdoor Brands, Inc.","AOUT",18.37
"ABM Industries, Inc.","ABM",42.94
"Ark Restaurants Corp.","ARKR",17.04
"Ampco-Pittsburgh Corp.","AP",5.64
"Amplitude, Inc.","AMPL",43
"Alexandria Real Estate Equities, Inc.","ARE",209.08
"AutoNation, Inc.","AN",112.6
"Alpha Pro Tech Ltd.","APT",6.11
"89bio, Inc.","ETNB",13.1
"Affiliated Managers Group, Inc.","AMG",163.93
"AMERCO","UHAL",701.88
"ArcelorMittal SA","MT",34.81
"Array Technologies, Inc.","ARRY",14.11
"Aon Plc","AON",282.9
"ACM Research, Inc.","ACMR",82
"American Assets Trust, Inc.","AAT",38.62
"ATI Physical Therapy, Inc.","ATIP",3.11
"Accuray, Inc.","ARAY",4.28
"Adial Pharmaceuticals, Inc.","ADIL",2.55
"Aehr Test Systems","AEHR",16.14
"Alight, Inc.","ALIT",9.78
"Alpine Income Property Trust, Inc.","PINE",20.01
"American Campus Communities, Inc.","ACC",55.43
"Allakos, Inc.","ALLK",8.41
"Aeva Technologies, Inc.","AEVA",6.66
"Amtech Systems, Inc.","ASYS",9.07
"ACADIA Pharmaceuticals, Inc.","ACAD",22.59
"Ambev SA","ABEV",2.6
"Alterity Therapeutics Ltd.","ATHE",1
"Affinity Bancshares, Inc.","AFBI",15.85
"ALJ Regional Holdings, Inc.","ALJJ",1.78
"Associated Banc-Corp","ASB",24.94
"Aravive, Inc.","ARAV",2.75
"Advance Auto Parts, Inc.","AAP",238.09
"Arrival SA","ARVL",7.21
"Allegro MicroSystems, Inc.","ALGM",32.2
"Aspira Women's Health, Inc.","AWH",1.47
"Aspen Aerogels, Inc.","ASPN",43.58
"AGCO Corp.","AGCO",121.59
"AT&T, Inc.","T",26.3
"Atlantic Union Bankshares Corp.","AUB",41.22
"Assembly Biosciences, Inc.","ASMB",2.1
"9 Meters Biopharma, Inc.","NMTR",0.89
"Apartment Income REIT Corp.","AIRC",53.32
"Alamos Gold, Inc.","AGI",7.03
"Ally Financial, Inc.","ALLY",49.9
"Armstrong World Industries, Inc.","AWI",110.01
"Avalara, Inc.","AVLR",109.2
"Akerna Corp.","KERN",1.72
"AeroVironment, Inc.","AVAV",62.55
"Aemetis, Inc.","AMTX",10.91
"Applied Molecular Transport, Inc.","AMTI",12.21
"Alamo Group, Inc.","ALG",156.41
"Alliant Energy Corp.","LNT",60.98
"Adient plc","ADNT",48.28
"Apple Hospitality REIT, Inc.","APLE",16.8
"Anthem, Inc.","ANTM",434.97
"Annovis Bio, Inc.","ANVS",17.02
"Atlantic American Corp.","AAME",2.91
"Anavex Life Sciences Corp.","AVXL",15.52
"Activision Blizzard, Inc.","ATVI",64.07
"Allena Pharmaceuticals, Inc.","ALNA",0.5
"America's Car-Mart, Inc.","CRMT",100.55
"Autoliv, Inc.","ALV",105.67
"Acutus Medical, Inc.","AFIB",3.12
"Apollo Global Management, Inc.","APO",69
"Applovin Corp - Ordinary Shares - Class A","APP",80.48
"American Homes 4 Rent","AMH",41.42
"ACRES Commercial Realty Corp.","ACR",12.38
"Alpha & Omega Semiconductor Ltd.","AOSL",54.33
"4D Molecular Therapeutics, Inc.","FDMT",18.77
"Astronics Corp.","ATRO",13.6
"Akoustis Technologies, Inc.","AKTS",5.99
"ARMOUR Residential REIT, Inc.","ARR",10.08
"American Software, Inc.","AMSWA",24.81
"Alphatec Holdings, Inc.","ATEC",11.31
"Annexon, Inc.","ANNX",8.32
"AMN Healthcare Services, Inc.","AMN",116.6
"Altra Industrial Motion Corp.","AIMC",50.76
"American International Group, Inc.","AIG",60.76
"AECOM","ACM",74.52
"Akero Therapeutics, Inc.","AKRO",20.02
"Apollo Endosurgery, Inc.","APEN",7.46
"Adicet Bio, Inc.","ACET",15.55
"Agrify Corp.","AGFY",9.3
"Amazon.com, Inc.","AMZN",3251.34
"ABIOMED, Inc.","ABMD",319.04
"Auburn National Bancorporation, Inc.","AUBN",32.62
"American Express Co.","AXP",174.39
"Arcus Biosciences, Inc.","RCUS",37.41
"Amyris, Inc.","AMRS",4.6
"Aptorum Group Ltd.","APM",1.57
"Aqua Metals, Inc.","AQMS",1.16
"Amdocs Ltd.","DOX",75.22
"3M Co.","MMM",179.91
"America Movil SAB de CV","AMX",20.47
"AFC Gamma, Inc.","AFCG",20.1
"Alteryx, Inc.","AYX",58.1
"Airgain, Inc.","AIRG",10.35
"Albany International Corp.","AIN",89.45
"argenx SE","ARGX",312.93
"Atlas Corp. (British Columbia)","ATCO",14.3
"ATIF Holdings Ltd.","ATIF",4
"Altus Midstream Co.","ALTM",62
"Atlassian Corp. Plc","TEAM",303.87
"Ashland Global Holdings, Inc.","ASH",103.89
"Aligos Therapeutics, Inc.","ALGS",3.93
"Albireo Pharma, Inc.","ALBO",26.18
"Alithya Group, Inc.","ALYA",2.52
"3D Systems Corp.","DDD",19.83
"A-Mark Precious Metals, Inc.","AMRK",56.23
"Academy Sports & Outdoors, Inc.","ASO",40.67
"AgroFresh Solutions, Inc.","AGFS",2.22
"Akoya Biosciences, Inc.","AKYA",12.8
"AvalonBay Communities, Inc.","AVB",248.87
"American Equity Investment Life Holding Co.","AEL",41.22
"1847 Goedeker, Inc.","GOED",2.26
"Addex Therapeutics Ltd.","ADXN",6.53
"Arlo Technologies, Inc.","ARLO",9.73
"Apollo Commercial Real Estate Finance, Inc.","ARI",13.71
"Acadia Healthcare Co., Inc.","ACHC",56.42
"Applied DNA Sciences, Inc.","APDN",4.12
"Allot Ltd.","ALLT",12.25
"Aegon NV","AEG",5.55
"Æterna Zentaris, Inc.","AEZS",0.38
"Advantage Solutions, Inc. (California)","ADV",7.32
"ARCA biopharma, Inc.","ABIO",2.04
"1st Source Corp.","SRCE",52.42
"Ambac Financial Group, Inc.","AMBC",15.85
"American Virtual Cloud Technologies, Inc.","AVCT",2.32
"Allegiance Bancshares, Inc. (Texas)","ABTX",43.86
"Akumin, Inc.","AKU",1.63
"8x8, Inc.","EGHT",16.63
"1-800-FLOWERS.COM, Inc.","FLWS",24.25
"Avangrid, Inc.","AGR",50.09
"AmerisourceBergen Corp.","ABC",133.12
"Audacy Inc - Ordinary Shares - Class A","AUD",2.46
"Atara Biotherapeutics, Inc.","ATRA",15.72
"AppFolio, Inc.","APPF",118.77
"Acasti Pharma, Inc.","ACST",1.29
"First Financial Bancorp (Ohio)","FFBC",26.49
"Grupo Aeroportuario del Sureste SA de CV","ASR",211.71
"Forum Energy Technologies, Inc.","FET",17.87
"First Interstate BancSystem, Inc. (Montana)","FIBK",44.54
"First Western Financial, Inc.","MYFW",31.68
"Fluidigm Corp.","FLDM",3.18
"GXO Logistics Inc","GXO",83.39
"Flexsteel Industries, Inc.","FLXS",28.28
"Grupo Supervielle SA","SUPV",1.99
"Freedom Holding Corp.","FRHC",67.58
"First Financial Bankshares, Inc.","FFIN",52.78
"FibroGen, Inc.","FGEN",13.55
"First High-School Education Group Co., Ltd.","FHS",1.72
"Franklin Resources, Inc.","BEN",35.17
