"","company","tikr","price"
"228","Artesian Resources Corp.","ARTNA",44.65
"229","Altimmune, Inc.","ALT",8.28
"230","Acuity Brands, Inc.","AYI",214.59
"231","Abeona Therapeutics, Inc.","ABEO",0.31
"232","Annaly Capital Management, Inc.","NLY",8.01
"233","ADC Therapeutics SA","ADCT",19.8
"234","AutoWeb, Inc.","AUTO",3.29
"235","ANI Pharmaceuticals, Inc.","ANIP",43.87
"236","American National Group, Inc.","ANAT",188.91
"237","Arthur J. Gallagher & Co.","AJG",165.38
"238","Autolus Therapeutics Plc","AUTL",4.66
"239","Air Industries Group","AIRI",0.92
"240","Atkore, Inc.","ATKR",105.29
"241","Adobe, Inc.","ADBE",510.56
"242","Auddia, Inc.","AUUD",1.76
"243","Atreca, Inc.","BCEL",2.63
"244","Abcam Plc","ABCM",20.95
"245","APA Corporation","APA",29.67
"246","AST Spacemobile, Inc.","ASTS",7.47
"247","Aeglea Biotherapeutics, Inc.","AGLE",4.29
"248","Avantor, Inc.","AVTR",36.6
"249","Actinium Pharmaceuticals, Inc.","ATNM",6.15
"250","AlloVir, Inc.","ALVR",11.54
"251","A10 Networks, Inc.","ATEN",14.94
"252","ABB Ltd.","ABB",38.09
"253","AerCap Holdings NV","AER",67.73
"254","Amesite, Inc.","AMST",1.06
"255","Alpine Immune Sciences, Inc.","ALPN",10.69
"256","ADT, Inc.","ADT",7.89
"257","Atlas Technical Consultants, Inc.","ATCX",7.97
"258","Addus HomeCare Corp.","ADUS",85.6
"259","AMC Entertainment Holdings, Inc.","AMC",23
"260","Angi, Inc.","ANGI",8.44
"261","Ardmore Shipping Corp.","ASC",3.54
"262","Ameresco, Inc.","AMRC",67.99
"263","American Airlines Group, Inc.","AAL",19.28
"264","Agilon Health, Inc.","AGL",23.25
"265","Alta Equipment Group, Inc.","ALTG",14.64
"266","Alpha Teknova, Inc.","TKNO",17.42
"267","American Electric Power Co., Inc.","AEP",90.81
"268","1stdibs.com, Inc.","DIBS",11.01
"269","American Well Corp.","AMWL",4.87
"270","Arrow Financial Corp.","AROW",36.62
"271","Arconic Corp.","ARNC",34.73
"272","Apartment Investment & Management Co.","AIV",7.26
"273","Armada Hoffler Properties, Inc.","AHH",14.98
"274","AGM Group Holdings, Inc.","AGMH",2.44
"275","Apollo Investment Corp.","AINV",13.2
"276","4D Pharma Plc","LBPS",5.54
"277","Athersys, Inc.","ATHX",0.87
"278","Automatic Data Processing, Inc.","ADP",238.75
"279","Alset EHome International, Inc.","AEI",0.48
"280","Allbirds, Inc - Ordinary Shares Class A.","BIRD",13.95
"281","Arvinas, Inc.","ARVN",69.06
"282","Ampio Pharmaceuticals, Inc.","AMPE",0.53
"283","Analog Devices, Inc.","ADI",168.83
"284","AptarGroup, Inc.","ATR",123.64
"285","Adaptimmune Therapeutics Plc","ADAP",3.5
"286","Arbor Realty Trust, Inc.","ABR",18.75
"287","Aurora Cannabis, Inc.","ACB",5.52
"288","AvePoint, Inc.","AVPT",6.21
"289","Amicus Therapeutics, Inc.","FOLD",11.41
"290","AirNet Technology, Inc.","ANTE",1.51
"291","Advanced Energy Industries, Inc.","AEIS",89.57
"292","Agree Realty Corp.","ADC",69.17
"293","Applied Materials, Inc.","AMAT",150.72
"294","Agilysys, Inc.","AGYS",43.66
