"","company","tikr","price"
"1124","Hudson Pacific Properties, Inc.","HPP",27.09
"1125","Envestnet, Inc.","ENV",77.87
"1126","H.B. Fuller Co.","FUL",76.74
"1127","FlexShopper, Inc.","FPAY",2.18
"1128","Hecla Mining Co.","HL",4.87
"1129","Halliburton Co.","HAL",26.02
"1130","Fortis, Inc.","FTS",46.52
"1131","Gran Tierra Energy, Inc.","GTE",0.81
"1132","Illinois Tool Works, Inc.","ITW",246.05
"1133","Global Payments, Inc.","GPN",150.14
"1134","Heat Biologics, Inc.","HTBX",3.1
"1135","Evolving Systems, Inc.","EVOL",2.24
"1136","Grupo Financiero Galicia SA","GGAL",9.38
"1137","FactSet Research Systems, Inc.","FDS",441.62
"1138","Highwoods Properties, Inc.","HIW",46.87
"1139","Gates Industrial Corp. Plc","GTES",16.38
"1140","HP, Inc.","HPQ",38.65
"1141","Flex Ltd.","FLEX",17.45
"1142","Future FinTech Group, Inc.","FTFT",1.15
"1143","Ford Motor Co.","F",24.43
"1144","Freshworks, Inc.","FRSH",22.79
"1145","Henry Schein, Inc.","HSIC",78.94
"1146","Host Hotels & Resorts, Inc.","HST",18.21
"1147","Honeywell International, Inc.","HON",215.75
"1148","Gamida Cell Ltd.","GMDA",2.28
"1149","Equinox Gold Corp.","EQX",6.43
"1150","FNCB Bancorp, Inc.","FNCB",9.1
"1151","Evoke Pharma, Inc.","EVOK",0.56
"1152","Federated Hermes, Inc.","FHI",39.18
"1153","FVCBankcorp, Inc.","FVCB",19.95
"1154","Global Net Lease, Inc.","GNL",15.63
"1155","Gaotu Techedu, Inc.","GOTU",1.64
"1156","Gulf Resources, Inc.","GURE",4.25
"1157","Exelixis, Inc.","EXEL",18.76
"1158","Gilat Satellite Networks Ltd.","GILT",8.1
"1159","Formula Systems (1985) Ltd.","FORTY",120.99
"1160","Fennec Pharmaceuticals, Inc.","FENC",4.53
"1161","GlycoMimetics, Inc.","GLYC",1.39
"1162","Fisker Inc - Ordinary Shares - Class A","FSR",16.24
"1163","Eros STX Global Corp.","ESGC",0.26
"1164","Epizyme, Inc.","EPZM",2.25
"1165","First Horizon Corp. (Tennessee)","FHN",18.38
"1166","Eyenovia, Inc.","EYEN",3.62
"1167","Foresight Autonomous Holdings Ltd.","FRSX",1.67
"1168","Genetic Technologies Ltd.","GENE",1.89
"1169","HyreCar, Inc.","HYRE",3.88
"1170","Guess?, Inc.","GES",22.6
"1171","Galiano Gold, Inc.","GAU",0.67
"1172","FB Financial Corp.","FBK",46.45
"1173","Fulton Financial Corp.","FULT",18.28
"1174","First Financial Northwest, Inc.","FFNW",16.83
"1175","General Dynamics Corp.","GD",212.06
"1176","First Internet Bancorp","INBK",51.49
"1177","II-VI, Inc.","IIVI",71.83
"1178","Extra Space Storage, Inc.","EXR",208.42
"1179","First American Financial Corp.","FAF",77.48
"1180","Foot Locker, Inc.","FL",42.06
"1181","Fastenal Co.","FAST",60.61
"1182","Gerdau SA","GGB",4.86
"1183","GreenPower Motor Co., Inc.","GP",7.79
"1184","Frontdoor, Inc.","FTDR",37.07
"1185","Geron Corp.","GERN",1.18
"1186","Forrester Research, Inc.","FORR",57.02
"1187","Equity Residential","EQR",89.64
"1188","Equifax, Inc.","EFX",267.57
"1189","GFL Environmental, Inc.","GFL",35.29
"1190","Hologic, Inc.","HOLX",70.35
"1191","EverQuote, Inc.","EVER",15.03
"1192","First Foundation, Inc.","FFWM",26.79
"1193","Generac Holdings, Inc.","GNRC",316.55
"1194","Gold Standard Ventures Corp.","GSV",0.43
"1195","EVO Payments, Inc.","EVOP",25.16
"1196","Fuel Tech, Inc.","FTEK",1.32
"1197","Grocery Outlet Holding Corp.","GO",27.91
"1198","Friedman Industries, Inc.","FRD",10.8
"1199","Fury Gold Mines Ltd.","FURY",0.65
"1200","Greenlane Holdings, Inc.","GNLN",0.93
"1201","Euro Tech Holdings Co. Ltd.","CLWT",2.87
"1202","Evolent Health, Inc.","EVH",23.06
"1203","ESSA Bancorp, Inc.","ESSA",17.3
"1204","Equitable Holdings, Inc.","EQH",35.5
"1205","FG Financial Group, Inc.","FGF",3.64
"1206","EVgo, Inc.","EVGO",9.5
"1207","Fastly, Inc.","FSLY",33.03
"1208","Global Self Storage, Inc.","SELF",5.72
"1209","EverCommerce, Inc.","EVCM",13.58
"1210","Grupo Aeroportuario del Pacífico SAB de CV","PAC",141.62
"1211","Garrett Motion, Inc.","GTX",7.87
"1212","Enzo Biochem, Inc.","ENZ",3.18
"1213","ePlus, Inc.","PLUS",51.98
"1214","Helix Energy Solutions Group, Inc.","HLX",3.63
"1215","First Solar, Inc.","FSLR",84.61
"1216","Firsthand Technology Value Fund, Inc.","SVVC",4.15
"1217","Freshpet Inc.","FRPT",89.07
"1218","Ferroglobe PLC","GSM",5.61
"1219","Harley-Davidson, Inc.","HOG",39.73
"1220","Hoth Therapeutics, Inc.","HOTH",0.95
"1221","Tivity Health, Inc.","TVTY",24.79
"1222","SPI Energy Co. Ltd.","SPI",3.42
"1223","Waitr Holdings, Inc.","WTRH",0.64
"1224","Viking Therapeutics, Inc.","VKTX",4.21
"1225","Stitch Fix, Inc.","SFIX",19.01
"1226","vTv Therapeutics, Inc.","VTVT",0.91
"1227","Vista Outdoor, Inc.","VSTO",46.83
"1228","Upwork, Inc.","UPWK",29.5
"1229","Ultra Clean Holdings, Inc.","UCTT",54
"1230","Verastem, Inc.","VSTM",1.9
"1231","Sonida Senior Living Inc","SNDA",27.5
"1232","The Aaron's Co., Inc.","AAN",23.69
"1233","Ultrapar Participaçoes SA","UGP",2.35
"1234","Unisys Corp.","UIS",19.85
"1235","The Hershey Co.","HSY",195.91
"1236","Vaccitech Plc","VACC",11.8
"1237","United States Steel Corp.","X",25.41
"1238","Tapestry, Inc.","TPR",39.34
"1239","Vonage Holdings Corp.","VG",20.76
"1240","Titan Pharmaceuticals, Inc.","TTNP",1.04
"1241","TherapeuticsMD, Inc.","TXMD",0.38
"1242","The Brink's Co.","BCO",68.23
"1243","The Beachbody Co., Inc.","BODY",2.08
"1244","Westpac Banking Corp.","WBK",15.56
"1245","Unilever Plc","UL",53.79
"1246","Velodyne Lidar, Inc.","VLDR",4.23
"1247","The Buckle, Inc.","BKE",39.74
"1248","The Container Store Group, Inc.","TCS",11.22
"1249","The9 Ltd.","NCTY",5.86
"1250","The Duckhorn Portfolio, Inc.","NAPA",22.29
"1251","Vertex Energy, Inc.","VTNR",4.9
"1252","TimkenSteel Corp.","TMST",17.13
"1253","Urstadt Biddle Properties, Inc.","UBP",18.79
"1254","Washington Federal, Inc.","WAFD",36.02
"1255","Vimeo Inc","VMEO",15.6
"1256","The Children's Place, Inc.","PLCE",72.18
"1257","UP Fintech Holding Ltd.","TIGR",4.33
"1258","Vista Gold Corp.","VGZ",0.67
"1259","Trip.com Group Ltd.","TCOM",25.01
"1260","Western Asset Mortgage Capital Corp.","WMC",2.25
"1261","TTM Technologies, Inc.","TTMI",15.51
"1262","Soleno Therapeutics, Inc.","SLNO",0.43
"1263","Tower Semiconductor Ltd.","TSEM",39.14
"1264","Viomi Technology Co., Ltd.","VIOT",2.21
"1265","Stanley Black & Decker, Inc.","SWK",189.25
"1266","Soligenix, Inc.","SNGX",0.69
"1267","Tronox Holdings Plc","TROX",24.2
"1268","Smartsheet, Inc.","SMAR",62.96
"1269","TPG RE Finance Trust, Inc.","TRTX",12.7
"1270","TransMedics Group, Inc.","TMDX",17.34
"1271","Valvoline, Inc.","VVV",35.31
"1272","Solid Biosciences, Inc.","SLDB",1.58
"1273","Surface Oncology, Inc.","SURF",4.48
"1274","The Kroger Co.","KR",48.13
"1275","US Well Services, Inc.","USWS",1.29
"1276","Theratechnologies, Inc.","THTX",2.94
"1277","Verona Pharma Plc","VRNA",6.85
"1278","The Goldman Sachs Group, Inc.","GS",397.51
"1279","Weibo Corp.","WB",33.45
"1280","VIA optronics AG","VIAO",8.39
"1281","Socket Mobile, Inc.","SCKT",4.12
"1282","Sono Group N.V.","SEV",8.64
"1283","South Jersey Industries, Inc.","SJI",26.05
"1284","Texas Instruments Incorporated","TXN",179.44
"1285","STAG Industrial, Inc.","STAG",44.78
"1286","Tempur Sealy International, Inc.","TPX",44.86
"1287","The Cooper Cos., Inc.","COO",408.69
"1288","Upstart Holdings, Inc.","UPST",116.95
"1289","Sonnet BioTherapeutics Holdings, Inc.","SONN",0.38
"1290","The Trade Desk, Inc.","TTD",78.93
"1291","VYNE Therapeutics, Inc.","VYNE",1.02
"1292","So-Young International, Inc.","SY",3.04
"1293","The Middleby Corp.","MIDD",197.34
"1294","The Sherwin-Williams Co.","SHW",323.26
"1295","Veeva Systems, Inc.","VEEV",231.36
"1296","West Fraser Timber Co. Ltd.","WFG",91.86
"1297","Sprott, Inc.","SII",41.22
"1298","Union Pacific Corp.","UNP",254.77
"1299","Thor Industries, Inc.","THO",106.42
"1300","SunCoke Energy, Inc.","SXC",7.09
"1301","StealthGas, Inc.","GASS",2.22
"1302","SunLink Health Systems, Inc.","SSY",1.51
"1303","VEON Ltd.","VEON",1.72
"1304","Urstadt Biddle Properties, Inc.","UBA",21.22
"1305","Textainer Group Holdings Ltd.","TGH",37.25
"1306","VirnetX Holding Corp.","VHC",2.56
"1307","Virtu Financial, Inc.","VIRT",29.6
"1308","Village Farms International, Inc.","VFF",6
"1309","Universe Pharmaceuticals, Inc.","UPC",1.6
"1310","The Simply Good Foods Co.","SMPL",39.33
"1311","The Ensign Group, Inc.","ENSG",80.31
"1312","StoneCo Ltd.","STNE",16.13
"1313","Varonis Systems, Inc.","VRNS",43.84
"1314","TrueCar, Inc.","TRUE",3.76
"1315","The GEO Group, Inc.","GEO",8.03
"1316","Vale SA","VALE",14.81
"1317","W.R. Berkley Corp.","WRB",84.6
"1318","Wallbox BV","WBX",14
"1319","The Community Financial Corp. (Maryland)","TCFC",39.24
"1320","Sundial Growers, Inc.","SNDL",0.6
"1321","United States Antimony Corp.","UAMY",0.49
"1322","Weyerhaeuser Co.","WY",40.34
"1323","Tandem Diabetes Care, Inc.","TNDM",131.12
"1324","Vaxart, Inc.","VXRT",6.11
"1325","United Rentals, Inc.","URI",325.88
"1326","Veritone, Inc.","VERI",19.56
"1327","Tuniu Corp.","TOUR",1.06
"1328","Stifel Financial Corp.","SF",75.72
"1329","The Bancorp, Inc. (Delaware)","TBBK",27.31
"1330","The Chemours Co.","CC",36.03
"1331","W.P. Carey, Inc.","WPC",80.64
"1332","Synovus Financial Corp.","SNV",52.6
"1333","White Mountains Insurance Group Ltd.","WTM",1028.9
"1334","Timber Pharmaceuticals, Inc.","TMBR",0.4
"1335","SRAX, Inc.","SRAX",4.35
"1336","Western Digital Corp.","WDC",65.86
"1337","Wave Life Sciences Ltd.","WVE",2.89
"1338","TransUnion","TRU",111.32
"1339","Twist Bioscience Corp.","TWST",66.84
"1340","Takung Art Co., Ltd.","TKAT",3.38
"1341","Tanger Factory Outlet Centers, Inc.","SKT",19.71
"1342","Vista Oil & Gas SA de CV","VIST",5.71
"1343","Sony Group Corporation - ADR","SONY",124.32
"1344","Urban One, Inc.","UONE",5.04
"1345","Terex Corp.","TEX",45.45
"1346","Tradeweb Markets, Inc.","TW",91.5
"1347","VistaGen Therapeutics, Inc.","VTGN",1.76
"1348","Versus Systems, Inc.","VS",2.02
"1349","Twilio, Inc.","TWLO",230.13
"1350","Synopsys, Inc.","SNPS",330.36
"1351","The New York Times Co.","NYT",42.7
"1352","T2 Biosystems, Inc.","TTOO",0.47
"1353","Vishay Intertechnology, Inc.","VSH",21.4
"1354","Urban Outfitters, Inc.","URBN",28.72
"1355","Tenet Healthcare Corp.","THC",74.9
"1356","UTStarcom Holdings Corp.","UTSI",0.85
"1357","Ulta Beauty, Inc.","ULTA",396.97
"1358","TechnipFMC Plc","FTI",6.85
"1359","Spirit Realty Capital, Inc.","SRC",48.2
"1360","Snap-On, Inc.","SNA",218.91
"1361","Walmart, Inc.","WMT",144.88
"1362","The Kraft Heinz Co.","KHC",37.36
"1363","Waste Management, Inc.","WM",161.79
"1364","Syros Pharmaceuticals, Inc.","SYRS",3.5
"1365","VMware, Inc.","VMW",120.54
"1366","Tucows, Inc.","TCX",82.13
"1367","Toast, Inc.","TOST",28.32
"1368","Summit Wireless Technologies, Inc.","WISA",1.28
"1369","Verra Mobility Corp.","VRRM",15.1
"1370","voxeljet AG","VJET",6.15
"1371","Uranium Energy Corp.","UEC",3.89
"1372","Trex Co., Inc.","TREX",116.87
"1373","Synchrony Financial","SYF",48.22
"1374","TransGlobe Energy Corp.","TGA",3.16
"1375","Turtle Beach Corp.","HEAR",21.23
"1376","The Allstate Corp.","ALL",125.94
"1377","The Eastern Co.","EML",26.44
"1378","Valaris Ltd.","VAL",39.81
"1379","Sonim Technologies, Inc.","SONM",0.85
"1380","Tenaris SA","TS",22.42
"1381","Vistra Corp.","VST",22.72
"1382","T. Rowe Price Group, Inc.","TROW",191.56
"1383","U.S. Global Investors, Inc.","GROW",5.01
"1384","VerifyMe, Inc.","VRME",3.23
"1385","Sol-Gel Technologies Ltd.","SLGL",7.63
"1386","The Chefs' Warehouse, Inc.","CHEF",31.8
"1387","Taylor Morrison Home Corp.","TMHC",30.84
"1388","uCloudlink Group, Inc.","UCL",2.27
"1389","The First of Long Island Corp.","FLIC",22.3
"1390","Vector Group Ltd.","VGR",11.01
"1391","Solitario Zinc Corp.","XPL",0.5
"1392","Vulcan Materials Co.","VMC",207.93
"1393","VF Corp.","VFC",72.49
"1394","Syndax Pharmaceuticals, Inc.","SNDX",19.11
"1395","Westport Fuel Systems, Inc.","WPRT",2.33
"1396","Warner Music Group Corp.","WMG",39.97
"1397","Teladoc Health, Inc.","TDOC",82.02
"1398","STERIS Plc (Ireland)","STE",234.87
"1399","Stem Inc - Ordinary Shares - Class A","STEM",15.84
"1400","Visa, Inc.","V",216.91
"1401","Take-Two Interactive Software, Inc.","TTWO",164.63
"1402","Venus Concept, Inc.","VERO",1.6
"1403","TEGNA, Inc.","TGNA",18.47
"1404","Teva Pharmaceutical Industries Ltd.","TEVA",8.86
"1405","Whitestone REIT","WSR",10.29
"1406","UroGen Pharma Ltd.","URGN",8.78
"1407","Talos Energy, Inc.","TALO",10.92
"1408","Stevanato Group SpA","STVN",17.98
"1409","Sprout Social, Inc.","SPT",74.97
"1410","Welltower, Inc.","WELL",87.83
"1411","Ur-Energy, Inc.","URG",1.45
"1412","SmileDirectClub, Inc.","SDC",2.12
"1413","Urban Edge Properties","UE",19.51
"1414","T-Mobile US, Inc.","TMUS",109.68
"1415","Superior Industries International, Inc.","SUP",4.92
"1416","Universal Health Services, Inc.","UHS",132.05
"1417","TIAN RUIXIANG Holdings Ltd.","TIRX",1.61
"1418","Vinci Partners Investments Ltd.","VINP",11.23
"1419","Venator Materials Plc","VNTR",2.55
"1420","TripAdvisor, Inc.","TRIP",28.22
"1421","Sumo Logic, Inc.","SUMO",12.13
"1422","Viemed Healthcare, Inc.","VMD",5.48
"1423","Steel Dynamics, Inc.","STLD",62.32
"1424","Universal Security Instruments, Inc.","UUU",2.98
"1425","The Williams Cos., Inc.","WMB",28
"1426","UMH Properties, Inc.","UMH",25.04
"1427","Waterdrop, Inc.","WDH",1.34
"1428","Supernus Pharmaceuticals, Inc.","SUPN",29.78
"1429","Spark Networks SE","LOV",3.33
"1430","VTEX (Cayman Islands)","VTEX",8.75
"1431","The Boeing Co.","BA",215.47
"1432","Voyager Therapeutics, Inc.","VYGR",2.82
"1433","Univar Solutions, Inc.","UNVR",28.01
"1434","Super League Gaming, Inc.","SLGG",2.22
"1435","ThermoGenesis Holdings, Inc.","THMO",1.02
"1436","U.S. Silica Holdings, Inc.","SLCA",10.59
"1437","VICI Properties, Inc.","VICI",28.56
"1438","Universal Health Realty Income Trust","UHT",60.24
"1439","Verisk Analytics, Inc.","VRSK",206.66
"1440","Tonix Pharmaceuticals Holding Corp.","TNXP",0.34
"1441","Tractor Supply Co.","TSCO",228.33
"1442","Urban One, Inc.","UONEK",3.88
"1443","Viavi Solutions, Inc.","VIAV",17.09
"1444","Warrior Met Coal, Inc.","HCC",25.96
"1445","Toyota Motor Corp.","TM",200.54
"1446","Tuya, Inc.","TUYA",5.44
"1447","Uber Technologies, Inc.","UBER",41.5
"1448","Telephone & Data Systems, Inc.","TDS",20.81
"1449","Webster Financial Corp.","WBS",63.16
"1450","Syneos Health, Inc.","SYNH",91.73
"1451","Transocean Ltd.","RIG",3.31
"1452","UTZ Brands, Inc.","UTZ",18.01
"1453","Honest Company Inc (The )","HNST",7.09
"1454","The TJX Cos., Inc.","TJX",74.37
"1455","Tyson Foods, Inc.","TSN",91.01
"1456","Stereotaxis, Inc.","STXS",6.15
"1457","Weatherford International Plc","WFRD",27.39
"1458","West Pharmaceutical Services, Inc.","WST",390.29
"1459","Vericel Corp.","VCEL",36.6
"1460","Vaccinex, Inc.","VCNX",1.1
"1461","Whirlpool Corp.","WHR",226.93
"1462","The Alkaline Water Co., Inc.","WTER",1.15
"1463","Tellurian, Inc.","TELL",2.99
"1464","Tsakos Energy Navigation Ltd.","TNP",8.17
"1465","Thermo Fisher Scientific, Inc.","TMO",606.82
"1466","Terreno Realty Corp.","TRNO",78.33
"1467","Tesla, Inc.","TSLA",1026.87
"1468","Uniti Group, Inc.","UNIT",13.03
"1469","Steelcase, Inc.","SCS",11.92
"1470","ViaSat, Inc.","VSAT",46.98
"1471","Wayfair, Inc.","W",180.08
"1472","Tenable Holdings, Inc.","TENB",49.42
"1473","Vislink Technologies, Inc.","VISL",1.11
"1474","Westwater Resources, Inc.","WWR",2.31
"1475","Top Ships, Inc.","TOPS",0.91
"1476","Sotherly Hotels, Inc.","SOHO",2.13
"1477","The Carlyle Group, Inc.","CG",51.03
"1478","Unity Biotechnology, Inc.","UBX",1.59
"1479","Verb Technology Co., Inc.","VERB",1.21
"1480","WestRock Co.","WRK",46.95
"1481","Travere Therapeutics, Inc.","TVTX",27.84
"1482","Summit Hotel Properties, Inc.","INN",10.3
"1483","SolarEdge Technologies, Inc.","SEDG",249.06
"1484","Sypris Solutions, Inc.","SYPR",2.34
"1485","Trane Technologies Plc","TT",189.34
"1486","The Cato Corp.","CATO",17.08
"1487","The Clorox Co.","CLX",179.94
"1488","Vertiv Holdings Co.","VRT",22.55
"1489","The Bank of Princeton","BPRN",30.5
"1490","SSR Mining, Inc.","SSRM",16.35
"1491","UDR, Inc.","UDR",58.21
"1492","STORE Capital Corp.","STOR",34.22
"1493","VivoPower International Plc","VVPR",3.06
"1494","The Andersons, Inc.","ANDE",39.49
"1495","Superior Drilling Products, Inc.","SDPI",0.8
"1496","Blackstone Inc.","BX",116.71
"1497","Taoping, Inc.","TAOP",1.59
"1498","SOC Telemed, Inc.","TLMD",1.16
"1499","Snap, Inc.","SNAP",41.33
"1500","Steven Madden Ltd.","SHOO",43.99
"1501","Vontier Corp.","VNT",30.58
"1502","Washington Real Estate Investment Trust","WRE",26.59
"1503","The First Bancshares, Inc. (Mississippi)","FBMS",39.79
"1504","Teradyne, Inc.","TER",158.24
"1505","Terminix Global Holdings, Inc.","TMX",43.58
"1506","US Foods Holding Corp.","USFD",35.92
"1507","Sorrento Therapeutics, Inc.","SRNE",4.54
"1508","United Parcel Service, Inc.","UPS",218.16
"1509","WEC Energy Group, Inc.","WEC",97.21
"1510","UGI Corp.","UGI",44.83
"1511","Squarespace Inc - Ordinary Shares - Class A","SQSP",26.81
"1512","Toughbuilt Industries, Inc.","TBLT",0.37
"1513","Vascular Biogenics Ltd.","VBLT",1.78
"1514","Vertex Pharmaceuticals, Inc.","VRTX",221.88
"1515","Stryker Corp.","SYK",263.43
"1516","Twitter, Inc.","TWTR",39.67
"1517","Valneva SE","VALN",39.94
"1518","Sumitomo Mitsui Financial Group, Inc.","SMFG",7.23
"1519","Vornado Realty Trust","VNO",45.77
"1520","UTime Ltd.","UTME",2.64
"1521","United Airlines Holdings, Inc.","UAL",47.31
"1522","Spirit Airlines, Inc.","SAVE",23.62
"1523","Stellantis NV","STLA",20.44
"1524","The AZEK Co., Inc.","AZEK",41.66
"1525","Verint Systems, Inc.","VRNT",52.35
"1526","The Southern Co.","SO",68.63
"1527","TAT Technologies Ltd.","TATT",6.43
"1528","Walgreens Boots Alliance, Inc.","WBA",53.83
"1529","Uranium Royalty Corp.","UROY",4.04
"1530","U.S. Bancorp","USB",61.02
"1531","The Hain Celestial Group, Inc.","HAIN",42.47
"1532","Veru, Inc.","VERU",5.45
"1533","Standard Lithium Ltd.","SLI",8.6
"1534","Sonos, Inc.","SONO",28.68
"1535","Snowflake, Inc.","SNOW",299.67
"1536","TORM Plc","TRMD",7.91
"1537","Vermilion Energy, Inc.","VET",13.97
"1538","The Home Depot, Inc.","HD",393.56
"1539","Transportadora de Gas del Sur SA","TGS",4.46
"1540","SS&C Technologies Holdings, Inc.","SSNC",82.96
"1541","SuperCom Ltd.","SPCB",0.5
"1542","Tilray, Inc.","TLRY",6.43
"1543","WESCO International, Inc.","WCC",128.69
"1544","Truist Financial Corp.","TFC",65.01
"1545","Summit Materials, Inc.","SUM",39.13
"1546","Westlake Chemical Corp.","WLK",103.28
"1547","Wheeler Real Estate Investment Trust, Inc.","WHLR",1.9
"1548","Two Harbors Investment Corp.","TWO",5.82
"1549","uniQure NV","QURE",19.54
"1550","Switch, Inc. (Nevada)","SWCH",26.4
"1551","SOS Ltd.","SOS",0.8
"1552","Target Corp.","TGT",230.78
"1553","Viveve Medical, Inc.","VIVE",1.16
"1554","Vroom, Inc.","VRM",9.71
"1555","WalkMe Ltd.","WKME",17.98
"1556","Ventas, Inc.","VTR",53.62
"1557","The J. M. Smucker Co.","SJM",143.35
"1558","Sunstone Hotel Investors, Inc.","SHO",12.05
"1559","Whiting Petroleum Corp.","WLL",71.01
"1560","UiPath Inc - Ordinary Shares - Class A","PATH",39.19
"1561","Tri Pointe Homes, Inc.","TPH",25.36
"1562","Wah Fu Education Group Ltd.","WAFU",3.53
"1563","Smith & Nephew PLC","SNN",35.3
"1564","Werner Enterprises, Inc.","WERN",46.01
"1565","Spotify Technology SA","SPOT",223.75
"1566","The Dixie Group, Inc.","DXYN",5.44
"1567","Trinseo SA","TSE",57.16
"1568","Studio City International Holdings Ltd.","MSC",5.69
"1569","The Toronto-Dominion Bank","TD",79.21
"1570","Toll Brothers, Inc.","TOL",65.51
"1571","The Timken Co.","TKR",74.07
"1572","ViacomCBS, Inc.","VIAC",35.4
"1573","Synaptics, Inc.","SYNA",251.87
"1574","TG Therapeutics, Inc.","TGTX",17.53
"1575","Stantec, Inc.","STN",55.01
"1576","ViewRay, Inc.","VRAY",4.71
"1577","Weidai Ltd.","WEI",0.75
"1578","Southwestern Energy Co.","SWN",4.44
"1579","Stride, Inc.","LRN",31.55
"1580","Uxin Ltd.","UXIN",1.28
"1581","Vitru Ltd.","VTRU",13.58
"1582","SunPower Corp.","SPWR",19.39
"1583","Tantech Holdings Ltd.","TANH",0.44
"1584","Sohu.com Ltd.","SOHU",16.48
"1585","Waste Connections, Inc.","WCN",130.24
"1586","Tupperware Brands Corp.","TUP",15.55
"1587","Turquoise Hill Resources Ltd.","TRQ",15.4
"1588","The First Bancorp, Inc. (Maine)","FNLC",33.47
"1589","VNET Group Inc - ADR","VNET",8.72
"1590","TreeHouse Foods, Inc.","THS",44.03
"1591","SunRun, Inc.","RUN",31.71
"1592","Ternium SA","TX",48.24
"1593","Williams-Sonoma, Inc.","WSM",150.89
"1594","TotalEnergies SE","TTE",52.97
"1595","Vintage Wine Estates, Inc.","VWE",10.91
"1596","Victoria`s Secret & Co","VSCO",56.79
"1597","Vuzix Corp.","VUZI",7.97
"1598","TransAlta Corp.","TAC",10.99
"1599","Valley National Bancorp","VLY",14.68
"1600","Teradata Corp.","TDC",42.37
"1601","Textron, Inc.","TXT",78.28
"1602","The Coca-Cola Co.","KO",60.32
"1603","Takeda Pharmaceutical Co., Ltd.","TAK",13.91
"1604","Western Alliance Bancorp.","WAL",119.23
"1605","VeriSign, Inc.","VRSN",237.82
"1606","Under Armour, Inc.","UAA",19.85
"1607","Ucommune International Ltd.","UK",0.6
"1608","VBI Vaccines, Inc.","VBIV",2.12
"1609","Sun Communities, Inc.","SUI",196.24
"1610","W&T Offshore, Inc.","WTI",3.63
"1611","The Bank of New York Mellon Corp.","BK",62.33
"1612","Trilogy Metals, Inc.","TMQ",1.61
"1613","Synthetic Biologics, Inc.","SYN",0.28
"1614","Sunnova Energy International, Inc.","NOVA",23.95
"1615","The RealReal, Inc.","REAL",11.86
"1616","Trinity Biotech Plc","TRIB",1.33
"1617","Synchronoss Technologies, Inc.","SNCR",2.26
"1618","Vanda Pharmaceuticals, Inc.","VNDA",15.4
"1619","Sprouts Farmers Markets, Inc.","SFM",30.2
"1620","Sunworks, Inc.","SUNW",2.82
"1621","TETRA Technologies, Inc.","TTI",3.08
"1622","Taro Pharmaceutical Industries Ltd.","TARO",48.23
"1623","VolitionRX Ltd.","VNRX",3.06
"1624","Southwest Airlines Co.","LUV",45.35
"1625","The Walt Disney Co.","DIS",157.84
"1626","STAAR Surgical Co.","STAA",82.58
"1627","Starbucks Corp.","SBUX",107.58
"1628","Sunlands Technology Group","STG",6.37
"1629","Splunk, Inc.","SPLK",114.76
"1630","Udemy, Inc.","UDMY",14.69
"1631","The Wendy's Co.","WEN",24.07
"1632","Vocera Communications, Inc.","VCRA",79.16
"1633","Trinity Industries, Inc.","TRN",31.16
"1634","Wells Fargo & Co.","WFC",54.8
"1635","Surgalign Holdings, Inc.","SRGA",0.8
"1636","The Western Union Co.","WU",19.01
"1637","Spirit AeroSystems Holdings, Inc.","SPR",47.45
"1638","Virgin Galactic Holdings, Inc.","SPCE",12.45
"1639","Smart Share Global Ltd.","EM",1.76
"1640","US Energy Corp.","USEG",3.4
"1641","Vir Biotechnology, Inc.","VIR",33.64
"1642","Tencent Music Entertainment Group","TME",6.74
"1643","State Street Corp.","STT",101.67
"1644","TAL Education Group","TAL",3.43
"1645","Texas Roadhouse, Inc.","TXRH",90.19
"1646","Star Bulk Carriers Corp.","SBLK",22.54
"1647","SolarWinds Corp.","SWI",14.04
"1648","Verizon Communications, Inc.","VZ",54.25
"1649","The PNC Financial Services Group, Inc.","PNC",223.71
"1650","Sysco Corp.","SYY",80.44
"1651","Telos Corp.","TLS",13.74
"1652","Tufin Software Technologies Ltd.","TUFN",9.4
"1653","Spectrum Pharmaceuticals, Inc.","SPPI",1.16
"1654","Smith & Wesson Brands, Inc.","SWBI",17.63
"1655","Tenneco, Inc.","TEN",12.86
"1656","Trimble, Inc.","TRMB",79.11
"1657","Sweetgreen Inc - Ordinary Shares - Class A","SG",27.23
"1658","TPI Composites, Inc.","TPIC",13.98
"1659","Westinghouse Air Brake Technologies Corp.","WAB",95.1
"1660","The AES Corp.","AES",23.11
"1661","Unity Software, Inc.","U",120.28
"1662","Trevena, Inc.","TRVN",0.63
"1663","Tremor International Ltd.","TRMR",14.1
"1664","Tiziana Life Sciences Plc","TLSA",0.98
"1665","Viatris, Inc.","VTRS",14.75
"1666","Valero Energy Corp.","VLO",80.99
"1667","Starwood Property Trust, Inc.","STWD",24.88
"1668","The Estée Lauder Companies, Inc.","EL",354.97
"1669","Veracyte, Inc.","VCYT",33.6
"1670","The Charles Schwab Corp.","SCHW",91.74
"1671","Staffing 360 Solutions, Inc.","STAF",1.01
"1672","Vital Farms, Inc.","VITL",18.46
"1673","Under Armour, Inc.","UA",16.98
"1674","Vinco Ventures, Inc.","BBIG",2.31
"1675","The Hartford Financial Services Group, Inc.","HIG",72.06
"1676","Targa Resources Corp.","TRGP",55.91
"1677","Tattooed Chef, Inc.","TTCF",14.55
"1678","Tyme Technologies, Inc.","TYME",0.6
"1679","Stratasys Ltd.","SSYS",23.83
